source,target,shared_customers,jaccard,size_m1,size_m2
M0227,M0248,90,0.132743,391,377
M0242,M0528,67,0.118584,361,271
M0242,M0248,78,0.118182,361,377
M0248,M0700,72,0.111455,377,341
M0248,M0528,62,0.105802,377,271
M0053,M0248,63,0.104651,288,377
M0274,M0378,52,0.102564,326,233
M0205,M0376,49,0.10166,260,271
M0227,M0242,69,0.101025,391,361
M0242,M0274,62,0.0992,361,326
M0167,M0227,58,0.098976,253,391
M0242,M0700,63,0.098592,361,341
M0199,M0227,52,0.097378,195,391
M0157,M0612,52,0.097015,280,308
M0248,M0274,62,0.096724,377,326
M0025,M0227,57,0.094215,271,391
M0242,M0378,51,0.093923,361,233
M0248,M0300,53,0.093805,377,241
M0205,M0274,50,0.093284,260,326
M0227,M0376,56,0.092409,391,271
M0528,M0570,44,0.091667,271,253
M0227,M0300,53,0.091537,391,241
M0242,M0376,53,0.091537,361,271
M0205,M0378,41,0.090708,260,233
M0227,M0528,55,0.09061,391,271
M0053,M0157,47,0.090211,288,280
M0199,M0242,46,0.090196,195,361
M0124,M0248,52,0.090121,252,377
M0274,M0700,55,0.089869,326,341
M0227,M0274,59,0.089666,391,326
M0025,M0274,49,0.089416,271,326
M0167,M0528,43,0.089397,253,271
M0300,M0612,45,0.089286,241,308
M0053,M0242,53,0.088926,288,361
M0612,M0700,53,0.088926,308,341
M0053,M0124,44,0.08871,288,252
M0274,M0528,48,0.087432,326,271
M0300,M0528,41,0.087049,241,271
M0025,M0700,49,0.087034,271,341
M0274,M0570,46,0.086304,326,253
M0157,M0248,52,0.08595,280,377
M0205,M0528,42,0.08589,260,271
M0053,M0612,47,0.08561,288,308
M0227,M0378,49,0.085217,391,233
M0157,M0528,43,0.084646,280,271
M0053,M0700,49,0.084483,288,341
M0157,M0227,52,0.084006,280,391
M0167,M0700,46,0.083942,253,341
M0381,M0587,7,0.083333,43,48
M0528,M0700,47,0.083186,271,341
M0378,M0700,44,0.083019,233,341
M0053,M0274,47,0.082892,288,326
M0205,M0570,39,0.082278,260,253
M0025,M0242,48,0.082192,271,361
M0205,M0248,48,0.081494,260,377
M0053,M0378,39,0.080913,288,233
M0248,M0570,47,0.080617,377,253
M0167,M0274,43,0.080224,253,326
M0300,M0376,38,0.080169,241,271
M0205,M0612,42,0.079848,260,308
M0227,M0700,54,0.079646,391,341
M0376,M0700,45,0.079365,271,341
M0378,M0528,37,0.079229,233,271
M0416,M0625,11,0.079137,72,78
M0242,M0570,45,0.079086,361,253
M0242,M0612,49,0.079032,361,308
M0157,M0570,39,0.078947,280,253
M0184,M0617,9,0.078947,62,61
M0570,M0612,41,0.078846,253,308
M0227,M0612,51,0.078704,391,308
M0157,M0376,40,0.078278,280,271
M0274,M0554,36,0.078261,326,170
M0376,M0612,42,0.078212,271,308
M0167,M0376,38,0.078189,253,271
M0205,M0242,45,0.078125,260,361
M0247,M0430,10,0.078125,73,65
M0274,M0376,43,0.077617,326,271
M0205,M0300,36,0.077419,260,241
M0242,M0554,38,0.077079,361,170
M0124,M0227,46,0.077052,252,391
M0167,M0248,45,0.076923,253,377
M0227,M0570,46,0.076923,391,253
M0242,M0300,43,0.076923,361,241
M0131,M0682,8,0.076923,53,59
M0124,M0157,38,0.076923,252,280
M0254,M0256,9,0.076271,69,58
M0037,M0246,7,0.076087,48,51
M0025,M0300,36,0.07563,271,241
M0248,M0612,48,0.075353,377,308
M0124,M0612,39,0.074856,252,308
M0509,M0558,8,0.074766,53,62
M0157,M0167,37,0.074597,280,253
M0053,M0205,38,0.07451,288,260
M0023,M0523,7,0.074468,50,51
M0541,M0634,9,0.07438,52,78
M0133,M0611,6,0.074074,40,47
M0113,M0175,8,0.074074,63,53
M0076,M0613,6,0.074074,48,39
M0248,M0378,42,0.073944,377,233
M0300,M0570,34,0.073913,241,253
M0199,M0300,30,0.073892,195,241
M0167,M0553,25,0.073746,253,111
M0008,M0605,7,0.073684,52,50
M0104,M0440,7,0.073684,53,49
M0199,M0248,39,0.073171,195,377
M0025,M0554,30,0.072993,271,170
M0274,M0612,43,0.072758,326,308
M0199,M0378,29,0.072682,195,233
M0053,M0227,46,0.07267,288,391
M0157,M0700,42,0.072539,280,341
M0042,M0289,10,0.072464,88,60
M0376,M0378,34,0.07234,271,233
M0528,M0612,39,0.072222,271,308
M0142,M0633,7,0.072165,61,43
M0342,M0395,7,0.072165,43,61
M0357,M0494,7,0.072165,46,58
M0157,M0242,43,0.071906,280,361
M0376,M0570,35,0.071575,271,253
M0167,M0242,41,0.071553,253,361
M0106,M0541,7,0.071429,53,52
M0119,M0198,10,0.071429,98,52
M0488,M0544,8,0.071429,61,59
M0069,M0564,5,0.071429,36,39
M0327,M0357,6,0.071429,44,46
M0205,M0700,40,0.071301,260,341
M0248,M0376,43,0.071074,377,271
M0578,M0627,12,0.071006,67,114
M0053,M0199,32,0.070953,288,195
M0053,M0376,37,0.070881,288,271
