merchant_id,nama,kategori,sub_kategori,tipe,kota,kecamatan,is_bni_acquiring,produk_bni,tgl_registrasi,status,skala_usaha,avg_omzet_bulanan,degree,weighted_degree,pagerank,betweenness,community_id,community_size,connected_bni_ratio,avg_neighbor_jaccard,n_customers,lama_beroperasi_tahun,jumlah_karyawan,rating_google,jumlah_outlet,has_website,has_social_media,has_rating,is_hub,customer_density,log_pagerank,log_omzet,log_weighted_degree,log_n_customers
M0003,Agen Bahan Kue Mbak Rani,F&B,restaurant,supplier,Tangerang,Alam Sutera,Ya,QRIS,2022-04-22,aktif,UMI,63796417.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,20.0,13.0,3.9,3.0,1,0,1,0,0.0,0.0,17.971207602538247,0.0,0.0
M0005,Kafe Berkah Utama,F&B,catering,retailer,Bekasi,Harapan Indah,Ya,QRIS,2023-10-09,aktif,UMI,113502255.0,2.0,0.130863,0.0011403279525452948,0.0006645367412140575,14,29.0,1.0,0.0654315,25.0,14.0,13.0,3.5,2.0,0,1,1,0,8.333333333333334,2.5179609155019964,18.547333271340175,0.12298105805512008,3.258096538021482
M0708,Pusat Grosir Sejahtera Utama,Grocery,distributor,supplier,Jakarta,Kemang,Ya,QRIS,2023-02-01,aktif,UKE,312460972.0,5.0,0.269973,0.0018655209996545142,0.012994249201277955,0,44.0,0.8,0.05399459999999999,33.0,12.0,35.0,3.8,3.0,1,1,1,0,5.5,2.978342442945222,19.559990132941774,0.2389956404019866,3.5263605246161616
M0694,Ban & Oli Langgeng Maju,Automotive,bengkel,retailer,Bekasi,Kemang Pratama,Ya,QRIS,2023-11-24,aktif,UMI,71909576.0,3.0,0.166275,0.0013853225496845843,0.0044217252396166135,8,46.0,0.3333333333333333,0.055425,21.0,12.0,22.0,4.0,3.0,1,0,1,0,5.25,2.698217046837884,18.090920012708434,0.15381490917688792,3.091042453358316
M0695,PT Nawasena Distribusi Mandiri,Automotive,dealer,supplier,Jakarta,Cempaka Putih,Ya,QRIS + EDC,2025-11-19,aktif,UBE,7178825238.0,5.0,0.320942,0.0022717508085751854,0.011859424920127795,15,53.0,0.2,0.0641884,56.0,21.0,41.0,0.0,7.0,1,1,0,0,9.333333333333334,3.1662135132040676,22.694401590881867,0.27834511844456744,4.04305126783455
M0696,Toko Sparepart Selaras,Automotive,accessories,retailer,Bogor,Bogor Tengah,Ya,QRIS + EDC,2025-07-02,aktif,UMI,25576752.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,18.0,22.0,3.8,4.0,0,0,1,0,0.0,0.0,17.057194410952476,0.0,0.0
M0697,Toko Sparepart Berseri,Automotive,bengkel,retailer,Bandung,Buah Batu,Ya,QRIS,2025-09-04,aktif,UMI,49904565.0,3.0,0.182451,0.0013611320619138646,0.004365495207667732,10,26.0,0.3333333333333333,0.060817,21.0,12.0,21.0,0.0,3.0,1,1,0,0,5.25,2.6817966131312527,17.725623059541615,0.1675894028932533,3.091042453358316
M0698,Harmoni Sparepart Distribusi,Automotive,bengkel,supplier,Jakarta,Pluit,Ya,QRIS + EDC,2023-01-24,aktif,UME,2454579136.0,1.0,0.051948,0.0005416719805453555,0.0,15,53.0,1.0,0.051948,47.0,19.0,48.0,3.8,7.0,0,0,1,0,23.5,1.8589070534007783,21.6212211525397,0.05064368343603765,3.871201010907891
M0701,Toko Pangan Sembada,Grocery,toko_kelontong,retailer,Jakarta,Senayan,Ya,QRIS,2025-06-10,aktif,UMI,48402986.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,11.0,14.0,3.9,3.0,0,0,1,0,0.0,0.0,17.69507208465861,0.0,0.0
M0703,Mahardika Garage Distribusi,Automotive,dealer,supplier,Bogor,Sentul,Ya,QRIS + EDC,2025-11-25,aktif,UME,2657422903.0,2.0,0.131884,0.0015902396321465818,0.003164217252396166,0,44.0,1.0,0.065942,32.0,14.0,42.0,0.0,5.0,0,1,0,0,10.666666666666666,2.82745540604676,21.700622657035193,0.12388350103199035,3.4965075614664802
M0706,Motor Care Nawasena,Automotive,sparepart,retailer,Bandung,Setiabudhi,Ya,QRIS + EDC,2021-03-27,aktif,UKE,370471326.0,2.0,0.13164700000000001,0.0010315944301886226,0.0016460063897763579,10,26.0,0.5,0.06582350000000001,21.0,18.0,35.0,3.9,2.0,1,1,1,0,7.0,2.426212731359889,19.730286609692158,0.12367409369375106,3.091042453358316
M0645,Toko Sparepart Mentari,Automotive,bengkel,retailer,Jakarta,Sudirman,Ya,QRIS,2021-08-15,aktif,UMI,59330772.0,2.0,0.143492,0.0011373476153797983,0.0011092651757188497,17,39.0,1.0,0.071746,20.0,8.0,22.0,4.3,3.0,0,0,1,0,6.666666666666667,2.5155551617854823,17.898638666971795,0.1340867383915126,3.044522437723423
M0692,Ban & Oli Sentosa Jaya,Automotive,bengkel,retailer,Depok,Margonda,Ya,QRIS + EDC,2024-05-05,aktif,UKE,529761361.0,9.0,0.551381,0.0032896051870255137,0.03019552715654952,7,67.0,0.4444444444444444,0.06126455555555556,28.0,14.0,34.0,0.0,4.0,0,1,0,1,2.8,3.5232985435996724,20.087937202735443,0.4391455019969318,3.367295829986474
M0012,Dapur Bu Sari,F&B,restaurant,retailer,Bekasi,Grand Galaxy,Ya,QRIS,2021-02-19,aktif,UMI,37093603.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,13.0,16.0,3.9,3.0,0,1,1,0,0.0,0.0,17.428955113793428,0.0,0.0
M0011,Bakery Anugerah Sejati,F&B,warung,retailer,Bogor,Dramaga,Ya,QRIS,2025-01-12,aktif,UMI,34158318.0,1.0,0.054545,0.0005503111559124144,0.0,7,67.0,0.0,0.054545,15.0,12.0,21.0,4.2,2.0,0,0,1,0,7.5,1.8722807637643415,17.34651671607194,0.053109394279372765,2.772588722239781
M0010,UD Mandala Pangan Sejahtera,F&B,catering,retailer,Bogor,Cibinong,Ya,QRIS,2025-03-12,aktif,UKE,372676371.0,1.0,0.058824,0.0005722183017723027,0.0,17,39.0,1.0,0.058824,20.0,17.0,24.0,3.7,5.0,0,0,1,0,10.0,1.9054129556093093,19.73622096560591,0.057158858284294296,3.044522437723423
M0008,Warung Bu Wati,F&B,warung,retailer,Depok,Margonda,Ya,QRIS,2021-03-19,aktif,UMI,58108269.0,2.0,0.118298,0.0008866009793509435,0.00041405750798722044,7,67.0,0.0,0.059149,18.0,15.0,26.0,4.1,4.0,0,1,1,0,6.0,2.289095495463541,17.87781855248439,0.1118078866215411,2.9444389791664403
M0007,Kafe Buana Juara,F&B,catering,retailer,Jakarta,Tebet,Ya,QRIS,2024-09-12,aktif,UMI,48142709.0,1.0,0.08,0.0007714979946740961,0.0,0,44.0,0.0,0.08,22.0,12.0,26.0,0.0,2.0,0,1,0,0,11.0,2.1650433779642837,17.68968028287683,0.07696104113612832,3.1354942159291497
M0439,Toko Sembako Bu Rina,Grocery,toko_kelontong,retailer,Bogor,Tanah Sareal,Ya,QRIS + EDC,2024-05-18,aktif,UKE,254111529.0,3.0,0.171608,0.0013702027336020865,0.007810862619808307,0,44.0,0.6666666666666666,0.05720266666666667,29.0,21.0,40.0,3.9,3.0,1,1,1,0,7.25,2.687985398290452,19.353283823097225,0.15837716421716266,3.4011973816621555
M0438,UD Sejahtera Pangan Niaga Raya,Grocery,distributor,retailer,Tangerang,Alam Sutera,Ya,QRIS + EDC,2022-12-15,aktif,UKE,955086377.0,2.0,0.110804,0.0009123670742759193,0.0017482428115015974,3,76.0,0.5,0.055402,47.0,12.0,42.0,3.7,5.0,0,1,1,0,15.666666666666666,2.314876319708258,20.677312342522356,0.10508407745230613,3.871201010907891
M0468,CV Langgeng Distribusi Indonesia,Grocery,supermarket,supplier,Bandung,Cihampelas,Ya,QRIS + EDC,2025-09-30,aktif,UKE,272306077.0,2.0,0.111149,0.0008764858009058114,0.000797444089456869,12,58.0,0.5,0.0555745,27.0,19.0,22.0,4.1,4.0,1,1,1,0,9.0,2.2787900234198633,19.4224372783644,0.10539461507643452,3.332204510175204
M0467,UD Adikara Retail Mandiri,Grocery,supermarket,retailer,Bekasi,Kemang Pratama,Ya,QRIS,2022-05-21,aktif,UKE,660319578.0,5.0,0.283248,0.0019772136890556366,0.013709904153354633,8,46.0,0.2,0.0566496,32.0,15.0,24.0,4.2,2.0,1,1,1,0,5.333333333333333,3.0336125161084593,20.30823448639868,0.24939436391429848,3.4965075614664802
M0465,Grosir Sembako Sentosa,Grocery,supermarket,supplier,Bandung,Setiabudhi,Ya,QRIS + EDC,2024-06-06,aktif,UKE,959968578.0,4.0,0.255388,0.0018742811212079903,0.008915015974440894,13,28.0,0.5,0.063847,25.0,21.0,24.0,4.1,4.0,0,1,1,0,5.0,2.9827894358251834,20.68241111168218,0.2274446881492212,3.258096538021482
M0463,UD Sahabat Grosir Sejahtera,Grocery,distributor,retailer,Bogor,Bogor Tengah,Ya,QRIS + EDC,2022-12-16,aktif,UME,2035023054.0,7.0,0.396542,0.0028700127369181675,0.024782108626198084,1,29.0,0.42857142857142855,0.05664885714285713,35.0,17.0,29.0,4.1,4.0,1,1,1,1,4.375,3.391151334324094,21.433772985015125,0.33399918113881494,3.58351893845611
M0462,Minimarket Kencana Sejati,Grocery,toko_kelontong,retailer,Jakarta,Senayan,Ya,QRIS,2022-08-05,aktif,UKE,881498383.0,10.0,0.611677,0.004065658824575482,0.03760255591054313,18,41.0,0.5,0.061167700000000005,35.0,16.0,41.0,4.1,6.0,1,1,1,1,3.1818181818181817,3.7294595372741135,20.597133726561722,0.4772752517988069,3.58351893845611
M0461,Minimarket Karya Asri,Grocery,minimarket,retailer,Depok,Cimanggis,Ya,QRIS,2024-05-27,aktif,UMI,24126463.0,6.0,0.352342,0.0022950499396745825,0.019373801916932908,7,67.0,0.5,0.05872366666666667,25.0,16.0,22.0,3.8,2.0,0,1,1,1,3.5714285714285716,3.1759891752781884,16.99881988728595,0.3018379042120269,3.258096538021482
