merchant_id,nama,kategori,sub_kategori,tipe,kota,kecamatan,is_nasabah_bni,produk_bni,tgl_registrasi,status,avg_omzet_bulanan,degree,weighted_degree,pagerank,betweenness,community_id,community_size,connected_bni_ratio,avg_neighbor_jaccard,n_customers,lama_beroperasi_tahun,jumlah_karyawan,rating_google,jumlah_outlet,has_website,has_social_media,has_rating,is_hub,customer_density,log_pagerank,log_omzet,log_weighted_degree,log_n_customers,avg_amount_per_transactions,edc_ratio,qris_ratio
M0274,CV Konveksi Kang Asep,Fashion,textile,supplier,Bogor,Sentul,Ya,EDC,2024-06-24,aktif,296686459.0,24.0,1.8341,0.005466287813988677,0.010016854073906371,16,46.0,0.75,0.07642083333333333,326.0,8.0,30.0,3.5,1.0,0,1,1,1,13.04,4.019313464065334,19.508186448897852,1.0417244264610612,5.7899601708972535,483501.717877095,0.1452514,0.24022347
M0159,PT Distributor Harmoni,F&B,warung,supplier,Tangerang,Cipondoh,Ya,"EDC, QRIS",2025-10-12,aktif,113459579.0,18.0,1.010945,0.004033651207114454,0.03700852765828994,16,46.0,0.6111111111111112,0.05616361111111111,114.0,19.0,55.0,3.7,1.0,1,0,1,1,6.0,3.7217461789269386,18.546957208110737,0.6986047608391838,4.74493212836325,460332.4380165289,0.20661157,0.23966943
M0210,Resto Utama,F&B,restaurant,retailer,Depok,Cimanggis,Tidak,,,,2104741179.0,5.0,0.30301100000000003,0.0018505479518345644,0.009619399793726259,14,48.0,0.6,0.060602199999999995,61.0,8.0,22.0,4.9,1.0,0,0,1,0,10.166666666666666,2.9706954270371337,21.467458341651827,0.26467774016386614,4.127134385045092,137983.27692307692,0.33846155,0.44615385
M0553,CV Tech Supply Abadi,Electronics,gadget,supplier,Bekasi,Harapan Indah,Ya,"EDC, QRIS",2022-03-10,aktif,748982104.0,11.0,0.615196,0.0027256457225129697,0.025029557517671622,16,46.0,0.8181818181818182,0.0559269090909091,111.0,14.0,65.0,3.1,1.0,0,0,1,1,9.25,3.3413220058141895,20.43422564934027,0.47945631153992246,4.718498871295094,433451.55555555556,0.06837607,0.2905983
M0662,PT Otomotif Harmoni,Automotive,dealer,supplier,Bogor,Sentul,Ya,QRIS,2025-07-25,aktif,189995861.0,4.0,0.21289,0.0014162343647774493,0.005222247377556411,4,22.0,0.75,0.0532225,58.0,11.0,75.0,0.0,3.0,0,0,0,0,11.6,2.718814962446152,19.062512850940227,0.1930059415959316,4.07753744390572,480049.4666666667,0.06666667,0.2
M0514,Komputer Mulia,Electronics,computer,retailer,Depok,Cimanggis,Ya,EDC,2023-01-14,aktif,29011205.0,4.0,0.203463,0.0013524269820363647,0.008904988302769602,9,62.0,0.5,0.05086575,51.0,5.0,30.0,3.9,1.0,1,0,1,0,10.2,2.6758210309314183,17.18319272710527,0.18520323410408104,3.9512437185814275,174691.6923076923,0.44230768,0.40384614
M0550,Toko IT Utama,Electronics,computer,retailer,Bandung,Braga,Ya,"EDC, QRIS",2024-02-22,aktif,38126240.0,3.0,0.181612,0.0015546609630714462,0.0035066535858928887,0,39.0,1.0,0.06053733333333333,55.0,13.0,41.0,0.0,5.0,1,0,0,0,13.75,2.806181224687001,17.456413343181755,0.1668796079045202,4.02535169073515,147449.1052631579,0.3508772,0.5614035
M0614,Toko Sparepart Jaya,Automotive,accessories,retailer,Depok,Cinere,Tidak,,,,23844397.0,3.0,0.157981,0.001346467819632724,0.004915352300455311,0,39.0,0.3333333333333333,0.05266033333333333,59.0,8.0,49.0,0.0,1.0,0,1,0,0,14.75,2.671709691124095,16.987059863012878,0.14667797141688824,4.0943445622221,270574.0,0.32786885,0.4918033
M0006,UD Supplier Sentosa,F&B,restaurant,supplier,Bandung,Unknown,Tidak,,,,244002842.0,2.0,0.124074,0.0009315821502406919,0.0009508716323296355,8,53.0,0.5,0.062037,40.0,10.0,30.0,3.3,1.0,0,1,1,0,13.333333333333334,2.3336787848844174,19.31269043482894,0.1169595856033177,3.713572066704308,453474.4285714286,0.16666667,0.26190478
M0610,Motor Makmur,Automotive,accessories,retailer,Bekasi,Harapan Indah,Ya,EDC,2023-05-19,aktif,58632034.0,2.0,0.105551,0.0008300228758981168,0.0010062133675445878,12,67.0,0.0,0.0527755,54.0,18.0,46.0,3.2,1.0,0,1,1,0,18.0,2.2300389975966013,17.886791777531293,0.10034385322277724,4.007333185232471,159899.22807017545,0.3508772,0.42105263
