merchant_id,observed_qris_amount,observed_edc_amount,gross_qris_mdr_period,gross_edc_mdr_period,observation_months,monthly_gross_qris_mdr,monthly_gross_edc_mdr,monthly_net_qris_fbi,monthly_net_edc_fbi,monthly_net_total_fbi
M0003,7184460.29,5711694.4,11705.24844,72196.71687999999,12,975.43737,6016.393073333333,829.1217644999999,5113.934112333332,5943.055876833332
M0005,18937199.88,11283893.19,32776.86546,53445.859505,12,2731.405455,4453.821625416666,2321.69463675,3785.7483816041663,6107.443018354166
M0708,503481979.17,493398443.55,3524373.85419,4925612.93905,12,293697.8211825,410467.7449208333,249643.148005125,348897.5831827083,598540.7311878332
M0694,12915280.04,6253553.17,22023.47121,46074.328655,12,1835.2892675,3839.5273879166666,1559.995877375,3263.5982797291667,4823.594157104167
M0695,302930443.7,1960782342.09,2120513.1059,16728377.700535001,12,176709.42549166665,1394031.4750445834,150203.01166791664,1184926.753787896,1335129.7654558124
M0696,9021114.61,1828740.18,21831.64515,8508.557755,12,1819.3037625,709.0464795833333,1546.408198125,602.6895076458333,2149.0977057708333
M0697,15792821.41,8110068.1,21298.71426,83551.64156,12,1774.892855,6962.636796666667,1508.65892675,5918.241277166667,7426.900203916667
M0698,430067192.4,937689828.96,3010470.3468000004,3425912.389025,12,250872.52890000003,285492.6990854167,213241.64956500003,242668.79422260416,455910.4437876042
M0701,11357101.28,3238623.28,12366.62013,22894.612965,12,1030.5516774999999,1907.88441375,875.9689258749999,1621.7017516875,2497.6706775625
M0703,278170574.49,401528034.92,1947194.02143,2834798.20482,12,162266.1684525,236233.183735,137926.243184625,200798.20617475,338724.449359375
M0706,199975959.06,344665858.98,1399831.7134200002,1847194.766335,12,116652.64278500002,153932.89719458335,99154.74636725002,130842.96261539584,229997.70898264585
M0645,6912760.15,5690608.86,12090.58575,9460.91329,12,1007.5488125,788.4094408333334,856.416490625,670.1480247083334,1526.5645153333335
M0692,273356164.94,451678252.1,1913493.15458,2747419.628555,12,159457.76288166668,228951.63571291664,135539.0984494167,194608.89035597915,330147.98880539584
M0012,11766915.83,4972442.85,19942.12581,30032.348550000002,12,1661.8438175000001,2502.6957125000004,1412.5672448750001,2127.291355625,3539.8586005
M0011,9287994.68,8366920.05,16761.46014,46495.890770000005,12,1396.788345,3874.6575641666673,1187.27009325,3293.458929541667,4480.729022791667
M0010,205607021.6,180037707.87,1439249.1512,443160.433545,12,119937.42926666666,36930.03612875,101946.81487666666,31390.5307094375,133337.34558610414
M0008,15640632.65,2868801.43,28084.31631,50732.844175000006,12,2340.3596924999997,4227.737014583334,1989.3057386249998,3593.5764623958335,5582.882201020833
M0007,18253400.5,7183946.47,30815.5533,29664.90237,12,2567.962775,2472.0751975,2182.76835875,2101.2639178749996,4284.032276624999
M0439,286930640.01,408309092.48,2008514.48007,2070478.287375,12,167376.2066725,172539.85728125,142269.775671625,146658.8786890625,288928.6543606875
M0438,647194660.41,518353499.71,4530362.62287,3170749.31063,12,377530.2185725,264229.1092191667,320900.68578662496,224594.74283629167,545495.4286229166
M0468,273803311.96999997,395686768.03,1916623.18379,3187765.250485,12,159718.59864916667,265647.10420708335,135760.80885179166,225800.03857602083,361560.8474278125
M0467,507732969.88,385827374.7,3554130.78916,2721765.5111350003,12,296177.56576333335,226813.79259458336,251750.93089883335,192791.72370539585,444542.6546042292
M0465,428503140.62,217768634.0,2999521.98434,1805062.59776,12,249960.16536166667,150421.88314666666,212466.14055741666,127858.60067466665,340324.7412320833
M0463,373556317.05,608713822.12,2614894.21935,3700739.3097,12,217907.8516125,308394.942475,185221.673870625,262135.70110374998,447357.374974375
M0462,525099337.42,568099494.08,3675695.36194,3981134.77606,12,306307.94682833337,331761.23133833334,260361.75480408335,281997.04663758335,542358.8014416667
M0461,9455873.17,5753457.6,8648.94393,52725.853259999996,12,720.7453274999999,4393.821105,612.633528375,3734.74793925,4347.381467625
M0460,380137390.01,357226590.48,2660961.73007,2297751.8449,12,221746.81083916666,191479.32040833333,188484.78921329166,162757.4223470833,351242.21156037494
M0063,310736521.33,608324543.4300001,2175155.6493100002,3592881.46982,12,181262.97077583335,299406.7891516667,154073.52515945834,254495.7707789167,408569.29593837506
M0062,8328954.2,2251684.05,13932.49029,3377.5260749999998,12,1161.0408575,281.46050625,986.8847288749998,239.24143031249997,1226.1261591874998
M0061,328774164.46,307906997.51,2301419.15122,2356727.654195,12,191784.92926833333,196393.97118291666,163017.18987808333,166934.87550547917,329952.06538356247
M0060,488236236.38,605588165.08,3417653.65466,4419347.956135,12,284804.47122166667,368278.99634458334,242083.80053841666,313037.1468928958,555120.9474313124
M0059,432327429.88,969513595.09,3026292.00916,9371805.092290001,12,252191.00076333332,780983.7576908334,214362.35064883332,663836.1940372083,878198.5446860417
M0058,414914460.11,232410276.6,2904401.22077,1170050.65666,12,242033.43506416667,97504.22138833335,205728.41980454166,82878.58818008334,288607.007984625
M0053,7230494.29,3190380.67,6713.139120000001,18968.919384999997,12,559.42826,1580.743282083333,475.514021,1343.631789770833,1819.145810770833
M0022,293719222.66999996,364673238.84000003,2056034.55869,2154983.53204,12,171336.21322416668,179581.96100333333,145635.7812405417,152644.66685283332,298280.448093375
M0052,7226737.69,5533212.17,6522.30879,32150.889975000002,12,543.5257325,2679.24083125,461.996872625,2277.3547065625003,2739.3515791875
M0051,325746411.54,127837462.95,2280224.8807800002,1408682.912895,12,190018.74006500002,117390.24274125001,161515.92905525002,99781.7063300625,261297.63538531252
M0050,456013712.71999997,629791775.43,3192095.98904,2477116.278715,12,266007.9990866667,206426.35655958334,226106.79922366666,175462.40307564582,401569.20229931246
M0048,284528501.36,333215943.68,1991699.50952,2545172.8355,12,165974.95912666668,212097.73629166666,141078.71525766668,180283.07584791665,321361.7911055833
M0047,366002739.87,558089367.31,2562019.17909,1841230.59506,12,213501.5982575,153435.88292166666,181476.358518875,130420.50048341666,311896.8590022917
M0081,466995358.79,530500164.94,3268967.5115300003,4008988.5680050002,12,272413.9592941667,334082.3806670834,231551.8654000417,283970.02356702083,515521.8889670625
M0080,6438786.13,2053933.53,4082.0934599999996,15376.519035000001,12,340.17445499999997,1281.3765862500002,289.14828674999995,1089.1700983125002,1378.3183850625
M0079,17012350.58,5276621.32,28519.367130000002,30580.402895,12,2376.6139275,2548.3669079166666,2020.121838375,2166.1118717291665,4186.233710104167
M0077,11001135.48,4147306.49,7639.75578,42450.36721,12,636.6463150000001,3537.530600833333,541.14936775,3006.901010708333,3548.0503784583334
M0076,9235104.89,1366394.71,10965.31071,7654.208135,12,913.7758924999999,637.8506779166667,776.7095086249999,542.1730762291667,1318.8825848541665
M0075,303997236.93,252970561.55,2127980.65851,1811522.94006,12,177331.7215425,150960.245005,150731.963311125,128316.20825425,279048.171565375
M0073,6903847.66,3820057.9299999997,6482.19057,13317.659135,12,540.1825474999999,1109.8049279166667,459.1551653749999,943.3341887291666,1402.4893541041665
M0071,8495386.07,2763719.7199999997,11790.96966,40638.811855,12,982.580805,3386.5676545833335,835.19368425,2878.582506395833,3713.776190645833
M0069,12511473.23,5053293.62,28456.57302,23752.58974,12,2371.381085,1979.3824783333332,2015.67392225,1682.4751065833332,3698.1490288333334
M0037,194231566.10999998,254785273.13,1359620.96277,1179968.240775,12,113301.74689750001,98330.68673125001,96306.484862875,83581.0837215625,179887.5685844375
M0068,8675907.51,4706593.37,15724.48143,24875.11718,12,1310.3734525,2072.9264316666668,1113.817434625,1761.9874669166668,2875.804901541667
M0067,11464521.77,10887200.75,14272.38411,60921.250115,12,1189.3653425,5076.770842916667,1010.960541125,4315.255216479167,5326.215757604166
