merchant_id,nama,kategori,sub_kategori,tipe,kota,kecamatan,is_bni_acquiring,produk_bni,tgl_registrasi,status,skala_usaha,avg_omzet_bulanan
M0003,Agen Bahan Kue Mbak Rani,F&B,restaurant,supplier,Tangerang,Alam Sutera,Ya,QRIS,2022-04-22,aktif,UMI,63796417.0
M0005,Kafe Berkah Utama,F&B,catering,retailer,Bekasi,Harapan Indah,Ya,QRIS,2023-10-09,aktif,UMI,113502255.0
M0708,Pusat Grosir Sejahtera Utama,Grocery,distributor,supplier,Jakarta,Kemang,Ya,QRIS,2023-02-01,aktif,UKE,312460972.0
M0694,Ban & Oli Langgeng Maju,Automotive,bengkel,retailer,Bekasi,Kemang Pratama,Ya,QRIS,2023-11-24,aktif,UMI,71909576.0
M0695,PT Nawasena Distribusi Mandiri,Automotive,dealer,supplier,Jakarta,Cempaka Putih,Ya,QRIS + EDC,2025-11-19,aktif,UBE,7178825238.0
M0696,Toko Sparepart Selaras,Automotive,accessories,retailer,Bogor,Bogor Tengah,Ya,QRIS + EDC,2025-07-02,aktif,UMI,25576752.0
M0697,Toko Sparepart Berseri,Automotive,bengkel,retailer,Bandung,Buah Batu,Ya,QRIS,2025-09-04,aktif,UMI,49904565.0
M0698,Harmoni Sparepart Distribusi,Automotive,bengkel,supplier,Jakarta,Pluit,Ya,QRIS + EDC,2023-01-24,aktif,UME,2454579136.0
M0701,Toko Pangan Sembada,Grocery,toko_kelontong,retailer,Jakarta,Senayan,Ya,QRIS,2025-06-10,aktif,UMI,48402986.0
M0703,Mahardika Garage Distribusi,Automotive,dealer,supplier,Bogor,Sentul,Ya,QRIS + EDC,2025-11-25,aktif,UME,2657422903.0
M0706,Motor Care Nawasena,Automotive,sparepart,retailer,Bandung,Setiabudhi,Ya,QRIS + EDC,2021-03-27,aktif,UKE,370471326.0
M0645,Toko Sparepart Mentari,Automotive,bengkel,retailer,Jakarta,Sudirman,Ya,QRIS,2021-08-15,aktif,UMI,59330772.0
M0692,Ban & Oli Sentosa Jaya,Automotive,bengkel,retailer,Depok,Margonda,Ya,QRIS + EDC,2024-05-05,aktif,UKE,529761361.0
M0012,Dapur Bu Sari,F&B,restaurant,retailer,Bekasi,Grand Galaxy,Ya,QRIS,2021-02-19,aktif,UMI,37093603.0
M0011,Bakery Anugerah Sejati,F&B,warung,retailer,Bogor,Dramaga,Ya,QRIS,2025-01-12,aktif,UMI,34158318.0
M0010,UD Mandala Pangan Sejahtera,F&B,catering,retailer,Bogor,Cibinong,Ya,QRIS,2025-03-12,aktif,UKE,372676371.0
M0008,Warung Bu Wati,F&B,warung,retailer,Depok,Margonda,Ya,QRIS,2021-03-19,aktif,UMI,58108269.0
M0007,Kafe Buana Juara,F&B,catering,retailer,Jakarta,Tebet,Ya,QRIS,2024-09-12,aktif,UMI,48142709.0
M0439,Toko Sembako Bu Rina,Grocery,toko_kelontong,retailer,Bogor,Tanah Sareal,Ya,QRIS + EDC,2024-05-18,aktif,UKE,254111529.0
M0438,UD Sejahtera Pangan Niaga Raya,Grocery,distributor,retailer,Tangerang,Alam Sutera,Ya,QRIS + EDC,2022-12-15,aktif,UKE,955086377.0
M0468,CV Langgeng Distribusi Indonesia,Grocery,supermarket,supplier,Bandung,Cihampelas,Ya,QRIS + EDC,2025-09-30,aktif,UKE,272306077.0
M0467,UD Adikara Retail Mandiri,Grocery,supermarket,retailer,Bekasi,Kemang Pratama,Ya,QRIS,2022-05-21,aktif,UKE,660319578.0
M0465,Grosir Sembako Sentosa,Grocery,supermarket,supplier,Bandung,Setiabudhi,Ya,QRIS + EDC,2024-06-06,aktif,UKE,959968578.0
M0463,UD Sahabat Grosir Sejahtera,Grocery,distributor,retailer,Bogor,Bogor Tengah,Ya,QRIS + EDC,2022-12-16,aktif,UME,2035023054.0
M0462,Minimarket Kencana Sejati,Grocery,toko_kelontong,retailer,Jakarta,Senayan,Ya,QRIS,2022-08-05,aktif,UKE,881498383.0
M0461,Minimarket Karya Asri,Grocery,minimarket,retailer,Depok,Cimanggis,Ya,QRIS,2024-05-27,aktif,UMI,24126463.0
M0460,Pusat Grosir Lentera Pilihan,Grocery,minimarket,supplier,Bekasi,Jababeka,Ya,QRIS + EDC,2025-04-05,aktif,UKE,377735449.0
