merchant_id,nama,kategori,sub_kategori,tipe,kota,kecamatan,is_nasabah_bni,produk_bni,tgl_registrasi,status,avg_omzet_bulanan,lama_beroperasi_tahun,jumlah_karyawan,rating_google,jumlah_outlet,has_website,has_social_media,has_rating,is_bni_numeric
M0406,PT Distributor Maju ,F&B,cafe,supplier,Tangerang,Cipondoh,Ya,EDC,2023-08-10,aktif,94840150.0,7.0,19.0,0.0,1.0,1,0,0,1
M0404,Fashion Pratama ,Fashion,clothing,retailer,Bogor,Dramaga,Ya,"EDC, QRIS, Giro",2023-10-30,aktif,20006925.0,2.0,28.0,3.4,5.0,0,0,1,1
M0002,Toko Grosir Jaya,F&B,restaurant,supplier,Jakarta,Pluit,Ya,EDC,2024-08-31,aktif,263453794.0,1.0,26.0,4.7,1.0,0,0,1,1
M0003,Kafe Pak Haji,F&B,warung,retailer,Depok,Cimanggis,Ya,QRIS,2020-10-15,aktif,117614123.0,4.0,26.0,4.6,2.0,0,0,1,1
M0388,Motor Prima,Automotive,accessories,retailer,Bogor,Dramaga,Ya,"EDC, QRIS",2021-08-31,aktif,355328671.0,15.0,5.0,0.0,1.0,0,0,0,1
M0386,Bengkel Purnama,Automotive,sparepart,retailer,Depok,Cimanggis,Ya,"QRIS, Giro",2025-07-14,aktif,75176888.0,10.0,24.0,5.0,1.0,0,0,1,1
M0383,PT Otomotif Bersama,Automotive,accessories,supplier,Bekasi,Kemang Pratama,Ya,EDC,2021-05-17,aktif,53805347.0,10.0,23.0,0.0,1.0,0,0,0,1
M0382,Toko Sparepart Mas Bro,Automotive,dealer,retailer,Bekasi,Grand Galaxy,Ya,"EDC, QRIS, Giro",2019-05-23,aktif,38284153.0,10.0,28.0,4.2,5.0,0,0,1,1
M0379,Motor Anugrah,Automotive,sparepart,retailer,Bogor,Dramaga,Ya,"EDC, QRIS",2023-12-07,aktif,471213876.0,20.0,25.0,0.0,1.0,0,0,0,1
M0378,Auto Citra,Automotive,accessories,retailer,Tangerang,BSD,Ya,"EDC, QRIS, Giro",2021-12-21,aktif,77439520.0,7.0,37.0,0.0,1.0,0,1,0,1
M0377,Bengkel Karya,Automotive,accessories,retailer,Jakarta,Thamrin,Ya,QRIS,2021-04-27,aktif,143966123.0,11.0,47.0,0.0,1.0,0,1,0,1
M0376,CV Sparepart Mulia,Automotive,bengkel,supplier,Bandung,Cihampelas,Ya,"QRIS, Giro",2025-03-01,aktif,159271674.0,13.0,93.0,0.0,1.0,0,0,0,1
M0375,Motor Nusantara,Automotive,bengkel,retailer,Depok,Cinere,Ya,EDC,2021-02-17,aktif,455936549.0,17.0,41.0,4.2,1.0,0,0,1,1
M0373,Bengkel Jaya,Automotive,dealer,retailer,Bogor,Tanah Sareal,Ya,"EDC, QRIS",2020-03-04,aktif,242382895.0,20.0,14.0,3.9,2.0,0,0,1,1
M0036,Bakery Utama,F&B,bakery,retailer,Jakarta,Menteng,Ya,Giro,2025-03-09,aktif,21883439.0,18.0,30.0,3.0,1.0,0,1,1,1
M0035,UD Supplier Gemilang,F&B,warung,supplier,Bogor,Dramaga,Ya,QRIS,2020-01-14,aktif,568229491.0,17.0,16.0,4.9,5.0,0,0,1,1
M0034,PT Distributor Mandiri,F&B,cafe,supplier,Jakarta,Senayan,Ya,QRIS,2025-03-16,aktif,126257149.0,18.0,54.0,3.9,1.0,0,1,1,1
M0032,UD Supplier Kang Asep,F&B,bakery,supplier,Jakarta,Sudirman,Ya,"EDC, QRIS",2019-10-09,aktif,1295059591.0,2.0,12.0,3.4,1.0,0,1,1,1
