merchant_id,nama,kategori,sub_kategori,tipe,kota,kecamatan,is_bni_acquiring,produk_bni,avg_omzet_bulanan,degree,weighted_degree,pagerank,betweenness,community_id,community_size,connected_bni_ratio,avg_neighbor_jaccard,n_customers,is_hub,customer_density,log_omzet,lama_beroperasi_tahun,jumlah_karyawan,rating_google,jumlah_outlet,has_rating,has_website,has_social_media,in_graph,priority_score,priority_rank,priority_category,predicted_priority,product_recommendation,product_rec_class,product_rec_proba_edc,product_rec_source
M0003,Agen Bahan Kue Mbak Rani,F&B,restaurant,supplier,Tangerang,Alam Sutera,Ya,QRIS,63796417.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,17.971207602538247,20.0,13.0,3.9,3.0,1,1,0,False,0.0,628,Tidak Teranalisis,0,QRIS,,,existing_bni
M0005,Kafe Berkah Utama,F&B,catering,retailer,Bekasi,Harapan Indah,Ya,QRIS,113502255.0,2.0,0.130863,0.0011403279525452,0.0011706070287539,14,29.0,1.0,0.0654315,25.0,0,8.333333333333334,18.54733327134017,14.0,13.0,3.5,2.0,1,0,1,True,0.3409174567113028,272,Rendah,0,QRIS,,,existing_bni
M0708,Pusat Grosir Sejahtera Utama,Grocery,distributor,supplier,Jakarta,Kemang,Ya,QRIS,312460972.0,5.0,0.269973,0.0018655209996545,0.0076728434504792,0,44.0,0.8,0.0539945999999999,33.0,0,5.5,19.55999013294177,12.0,35.0,3.8,3.0,1,1,1,True,0.4515043620575403,149,Sedang,0,QRIS,,,existing_bni
M0694,Ban & Oli Langgeng Maju,Automotive,bengkel,retailer,Bekasi,Kemang Pratama,Ya,QRIS,71909576.0,3.0,0.166275,0.0013853225496845,0.003005750798722,8,46.0,0.3333333333333333,0.055425,21.0,0,5.25,18.09092001270844,12.0,22.0,4.0,3.0,1,1,0,True,0.2249531964492855,490,Rendah,0,QRIS,,,existing_bni
M0695,PT Nawasena Distribusi Mandiri,Automotive,dealer,supplier,Jakarta,Cempaka Putih,Ya,QRIS + EDC,7178825238.0,5.0,0.320942,0.0022717508085751,0.0124063897763578,15,53.0,0.2,0.0641884,56.0,0,9.333333333333334,22.694401590881867,21.0,41.0,0.0,7.0,0,1,1,True,0.3457216551532238,258,Rendah,0,QRIS + EDC,,,existing_bni
M0696,Toko Sparepart Selaras,Automotive,accessories,retailer,Bogor,Bogor Tengah,Ya,QRIS + EDC,25576752.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,17.057194410952476,18.0,22.0,3.8,4.0,1,0,0,False,0.0,628,Tidak Teranalisis,0,QRIS + EDC,,,existing_bni
M0697,Toko Sparepart Berseri,Automotive,bengkel,retailer,Bandung,Buah Batu,Ya,QRIS,49904565.0,3.0,0.182451,0.0013611320619138,0.0032357827476038,10,26.0,0.3333333333333333,0.060817,21.0,0,5.25,17.725623059541615,12.0,21.0,0.0,3.0,0,1,1,True,0.2276973763333782,483,Rendah,0,QRIS,,,existing_bni
M0698,Harmoni Sparepart Distribusi,Automotive,bengkel,supplier,Jakarta,Pluit,Ya,QRIS + EDC,2454579136.0,1.0,0.051948,0.0005416719805453,0.0,15,53.0,1.0,0.051948,47.0,0,23.5,21.6212211525397,19.0,48.0,3.8,7.0,1,0,0,True,0.2519633314457828,463,Rendah,0,QRIS + EDC,,,existing_bni
M0701,Toko Pangan Sembada,Grocery,toko_kelontong,retailer,Jakarta,Senayan,Ya,QRIS,48402986.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,17.69507208465861,11.0,14.0,3.9,3.0,1,0,0,False,0.0,628,Tidak Teranalisis,0,QRIS,,,existing_bni
M0703,Mahardika Garage Distribusi,Automotive,dealer,supplier,Bogor,Sentul,Ya,QRIS + EDC,2657422903.0,2.0,0.131884,0.0015902396321465,0.0031642172523961,0,44.0,1.0,0.065942,32.0,0,10.666666666666666,21.7006226570352,14.0,42.0,0.0,5.0,0,0,1,True,0.3743747482333882,232,Sedang,0,QRIS + EDC,,,existing_bni
