merchant_id,lama_beroperasi_tahun,jumlah_karyawan,rating_google,jumlah_outlet,has_website,has_social_media,has_rating
M0001,20.0,37.0,4.8,5.0,1,0,1
M0002,2.0,8.0,4.2,1.0,1,1,1
M0003,6.0,90.0,3.9,1.0,1,0,1
M0004,17.0,26.0,4.7,1.0,0,0,1
M0005,15.0,6.0,3.7,1.0,0,0,1
M0006,10.0,30.0,3.3,1.0,0,1,1
M0007,14.0,6.0,0.0,1.0,0,1,0
M0008,3.0,12.0,4.0,2.0,1,0,1
M0009,11.0,28.0,0.0,5.0,0,1,0
M0010,11.0,30.0,3.1,2.0,0,0,1
M0011,5.0,36.0,3.8,1.0,1,0,1
M0012,11.0,23.0,0.0,1.0,0,1,0
M0013,20.0,53.0,4.0,1.0,1,0,1
M0014,8.0,51.0,4.3,1.0,1,0,1
M0015,2.0,27.0,4.5,2.0,0,0,1
M0016,8.0,79.0,0.0,1.0,0,0,0
M0017,12.0,10.0,3.9,1.0,0,1,1
M0018,11.0,39.0,0.0,1.0,0,0,0
M0019,8.0,29.0,0.0,1.0,0,0,0
M0020,2.0,15.0,3.8,1.0,0,1,1
M0021,11.0,24.0,4.8,1.0,0,0,1
M0022,17.0,77.0,4.6,1.0,0,0,1
M0023,10.0,10.0,3.4,1.0,0,0,1
M0024,10.0,2.0,4.1,1.0,0,0,1
M0025,20.0,19.0,3.7,5.0,0,1,1
M0026,6.0,7.0,3.4,2.0,1,0,1
M0027,20.0,5.0,4.2,1.0,0,0,1
M0028,19.0,40.0,0.0,1.0,0,1,0
M0029,3.0,13.0,3.7,2.0,0,1,1
M0030,19.0,30.0,4.3,1.0,0,0,1
M0031,6.0,60.0,5.0,1.0,0,1,1
M0032,16.0,1.0,0.0,1.0,0,0,0
M0033,11.0,100.0,3.5,2.0,0,0,1
M0034,19.0,22.0,0.0,1.0,1,0,0
M0035,15.0,42.0,3.1,1.0,0,1,1
M0036,9.0,9.0,3.5,1.0,0,1,1
M0037,16.0,1.0,0.0,1.0,0,1,0
M0038,15.0,29.0,4.6,3.0,0,1,1
M0039,15.0,30.0,3.6,1.0,0,1,1
M0040,11.0,32.0,3.8,2.0,0,0,1
M0041,11.0,35.0,0.0,1.0,0,1,0
M0042,12.0,30.0,4.1,5.0,1,0,1
M0043,15.0,34.0,4.7,1.0,0,1,1
M0044,8.0,17.0,3.6,2.0,0,0,1
M0045,8.0,33.0,4.0,1.0,1,1,1
M0046,2.0,41.0,4.7,3.0,0,1,1
M0047,18.0,10.0,3.6,5.0,1,1,1
M0048,8.0,30.0,4.2,2.0,0,0,1
M0049,19.0,96.0,0.0,2.0,0,1,0
M0050,8.0,30.0,0.0,1.0,0,1,0
M0051,7.0,43.0,3.2,3.0,1,0,1
M0052,11.0,89.0,4.3,1.0,0,1,1
M0053,16.0,35.0,0.0,1.0,0,1,0
M0054,6.0,6.0,4.5,2.0,0,0,1
M0055,5.0,35.0,3.5,1.0,1,0,1
M0056,20.0,18.0,3.4,1.0,0,1,1
M0057,19.0,30.0,0.0,5.0,0,0,0
M0058,15.0,38.0,4.1,2.0,0,0,1
M0059,11.0,98.0,0.0,1.0,0,1,0
M0060,2.0,4.0,3.7,2.0,0,1,1
M0061,17.0,37.0,4.2,1.0,0,0,1
M0062,9.0,31.0,0.0,5.0,0,1,0
M0063,5.0,25.0,4.3,3.0,0,0,1
M0064,13.0,25.0,0.0,5.0,0,0,0
M0065,9.0,13.0,3.5,3.0,0,0,1
M0066,4.0,11.0,4.0,1.0,0,0,1
M0067,4.0,26.0,4.1,2.0,0,0,1
M0068,14.0,6.0,4.4,2.0,0,1,1
M0069,15.0,55.0,4.2,1.0,1,0,1
M0070,11.0,19.0,4.7,1.0,0,1,1
M0071,1.0,42.0,4.3,1.0,1,1,1
M0072,7.0,24.0,4.4,1.0,0,0,1
M0073,5.0,22.0,4.8,1.0,0,0,1
M0074,9.0,22.0,3.4,2.0,0,0,1
M0075,3.0,16.0,0.0,2.0,0,1,0
M0076,6.0,46.0,3.8,1.0,0,1,1
M0077,18.0,46.0,3.0,1.0,0,1,1
M0078,13.0,30.0,3.2,1.0,1,1,1
M0079,19.0,29.0,4.8,1.0,0,0,1
M0080,12.0,21.0,4.6,1.0,0,1,1
M0081,20.0,34.0,5.0,1.0,0,1,1
M0082,11.0,36.0,4.8,3.0,0,0,1
M0083,9.0,30.0,3.6,1.0,0,0,1
M0084,14.0,15.0,3.8,1.0,0,0,1
M0085,15.0,15.0,4.2,1.0,0,0,1
M0086,8.0,37.0,4.5,2.0,0,0,1
M0087,5.0,13.0,3.5,1.0,0,0,1
M0088,14.0,39.0,4.2,1.0,0,1,1
M0089,8.0,33.0,0.0,3.0,1,0,0
M0090,4.0,30.0,4.4,2.0,0,0,1
M0091,12.0,76.0,0.0,1.0,0,0,0
M0092,20.0,17.0,4.6,1.0,0,1,1
M0093,11.0,30.0,0.0,3.0,0,1,0
M0094,7.0,30.0,4.9,1.0,0,1,1
M0095,17.0,50.0,3.8,1.0,0,1,1
M0096,19.0,30.0,0.0,1.0,0,1,0
M0097,17.0,14.0,3.1,1.0,0,1,1
M0098,15.0,44.0,4.4,3.0,1,1,1
M0099,7.0,49.0,4.6,1.0,0,1,1
M0100,1.0,87.0,3.8,1.0,0,1,1
M0101,19.0,36.0,4.7,1.0,0,1,1
M0102,16.0,30.0,0.0,1.0,0,0,0
M0103,4.0,17.0,3.9,1.0,0,1,1
M0104,18.0,32.0,5.0,1.0,0,0,1
M0105,6.0,50.0,3.4,2.0,0,0,1
M0106,11.0,94.0,4.4,1.0,0,1,1
M0107,17.0,27.0,4.5,1.0,0,0,1
M0108,15.0,31.0,0.0,1.0,1,0,0
M0109,6.0,30.0,0.0,5.0,0,1,0
M0110,11.0,43.0,0.0,2.0,0,0,0
M0111,9.0,34.0,0.0,1.0,1,1,0
M0112,14.0,39.0,4.3,3.0,0,1,1
M0113,17.0,37.0,3.9,1.0,0,1,1
M0114,11.0,9.0,0.0,2.0,1,0,0
M0115,19.0,30.0,3.4,5.0,0,0,1
M0116,10.0,22.0,0.0,1.0,0,0,0
M0117,11.0,50.0,4.7,1.0,0,0,1
M0118,14.0,2.0,4.0,2.0,0,0,1
M0119,5.0,78.0,4.4,2.0,0,0,1
M0120,14.0,14.0,4.6,3.0,0,1,1
M0121,11.0,19.0,4.1,1.0,1,1,1
M0122,11.0,27.0,4.1,1.0,0,1,1
M0123,9.0,15.0,0.0,1.0,1,1,0
