trx_id,timestamp,source_id,target_id,amount,channel,status,description,ref_number,trx_type,timestamp_dt,hour,day_of_week,month
T055988,2025-07-29 07:08:46,C01978,M0075,133750.0,EDC,success,,REF82998646,C2M,2025-07-29 07:08:46,7,Tuesday,2025-07
T070579,2026-06-15 22:51:00,C01546,M0611,381678.0,transfer,success,,REF69273192,C2M,2026-06-15 22:51:00,22,Monday,2026-06
T052950,2025-11-26 08:37:01,C01419,M0160,20433.0,QRIS,success,,REF49199185,C2M,2025-11-26 08:37:01,8,Wednesday,2025-11
T006809,2026-04-18 03:53:24,C00241,M0274,459319.0,transfer,success,,REF51035284,C2M,2026-04-18 03:53:24,3,Saturday,2026-04
T067293,2026-03-19 05:50:08,C00709,M0569,166412.0,QRIS,success,,REF97400044,C2M,2026-03-19 05:50:08,5,Thursday,2026-03
T065947,2026-06-22 22:31:20,C00040,M0228,81844.0,EDC,success,,REF06648459,C2M,2026-06-22 22:31:20,22,Monday,2026-06
T031833,2026-06-22 07:53:34,C01255,M0242,643380.0,EDC,success,,REF49167892,C2M,2026-06-22 07:53:34,7,Monday,2026-06
T061550,2025-08-17 07:23:06,C00799,M0140,126765.0,QRIS,success,,REF81560825,C2M,2025-08-17 07:23:06,7,Sunday,2025-08
T025564,2026-03-28 08:09:27,C01242,M0700,493376.0,transfer,success,,REF35148338,C2M,2026-03-28 08:09:27,8,Saturday,2026-03
T046223,2026-06-09 18:23:36,C00496,M0601,179597.0,EDC,success,,REF01145679,C2M,2026-06-09 18:23:36,18,Tuesday,2026-06
T057035,2026-04-07 13:40:07,C00554,M0322,178440.0,EDC,success,,REF18256265,C2M,2026-04-07 13:40:07,13,Tuesday,2026-04
T018937,2026-05-08 03:55:26,C01652,M0053,320117.0,transfer,success,,REF93741185,C2M,2026-05-08 03:55:26,3,Friday,2026-05
T033709,2026-03-05 12:38:30,C00870,M0159,96996.0,transfer,success,,REF63178634,C2M,2026-03-05 12:38:30,12,Thursday,2026-03
T064084,2026-02-15 10:31:39,C00798,M0098,160192.0,transfer,success,,REF37464618,C2M,2026-02-15 10:31:39,10,Sunday,2026-02
T062924,2026-01-25 08:09:21,C01897,M0360,46002.0,QRIS,success,,REF63504984,C2M,2026-01-25 08:09:21,8,Sunday,2026-01
T049850,2026-01-29 13:37:56,C00811,M0026,407770.0,QRIS,success,,REF90518113,C2M,2026-01-29 13:37:56,13,Thursday,2026-01
T017660,2025-07-18 06:35:28,C01413,M0632,711382.0,transfer,success,,REF03483215,C2M,2025-07-18 06:35:28,6,Friday,2025-07
