trx_id,timestamp,source_id,target_id,amount,channel,payment_type,status,description,ref_number,trx_type,timestamp_dt,hour,day_of_week,month
T000000,2026-03-21 16:37:58,C00675,M0607,31707560.28,EDC,debit,success,C2M payment - Automotive,REF76360417,C2M,2026-03-21 16:37:58,16,Saturday,2026-03
T000001,2026-02-13 23:16:16,C00075,M0411,128355.21,QRIS,QRIS,success,C2M payment - Grocery,REF87061588,C2M,2026-02-13 23:16:16,23,Friday,2026-02
T000002,2025-09-05 20:03:14,C01585,M0027,25281340.74,transfer,bank_transfer,success,C2M payment - F&B,REF18154156,C2M,2025-09-05 20:03:14,20,Friday,2025-09
T000003,2025-12-01 04:29:20,C01081,M0467,17007513.94,QRIS,QRIS,success,C2M payment - Grocery,REF42510488,C2M,2025-12-01 04:29:20,4,Monday,2025-12
T000004,2025-11-11 23:57:17,C00993,M0381,3888807.26,transfer,bank_transfer,success,C2M payment - Grocery,REF63695970,C2M,2025-11-11 23:57:17,23,Tuesday,2025-11
T000005,2026-03-10 19:22:03,C01932,M0162,6326481.63,transfer,bank_transfer,success,C2M payment - F&B,REF70901681,C2M,2026-03-10 19:22:03,19,Tuesday,2026-03
T000007,2025-07-14 22:40:11,C00904,M0402,15188656.93,EDC,credit_card,success,C2M payment - Grocery,REF23753782,C2M,2025-07-14 22:40:11,22,Monday,2025-07
T000008,2026-01-29 07:52:03,M0060,M0603,26829588.77,transfer,bank_transfer,success,M2M settlement - Automotive,REF58040240,M2M,2026-01-29 07:52:03,7,Thursday,2026-01
T000009,2025-07-12 15:01:47,C01107,M0148,315539.1,EDC,debit,success,C2M payment - F&B,REF43388643,C2M,2025-07-12 15:01:47,15,Saturday,2025-07
T000010,2025-07-10 20:27:20,M0137,M0453,28131715.21,EDC,debit,success,M2M settlement - Grocery,REF91243444,M2M,2025-07-10 20:27:20,20,Thursday,2025-07
T000011,2025-08-03 18:27:03,M0639,M0689,30576947.6,transfer,bank_transfer,success,M2M settlement - Automotive,REF09528889,M2M,2025-08-03 18:27:03,18,Sunday,2025-08
T000012,2026-02-09 23:47:58,C01210,M0156,473989.53,transfer,bank_transfer,success,C2M payment - F&B,REF10003599,C2M,2026-02-09 23:47:58,23,Monday,2026-02
T000013,2026-01-13 15:18:47,C01186,M0604,5168587.5,QRIS,QRIS,success,C2M payment - Automotive,REF62653166,C2M,2026-01-13 15:18:47,15,Tuesday,2026-01
T000014,2026-04-08 13:59:36,M0668,M0666,8031368.25,transfer,bank_transfer,success,M2M settlement - Automotive,REF27506502,M2M,2026-04-08 13:59:36,13,Wednesday,2026-04
T000015,2026-01-07 01:11:18,C00198,M0628,26688081.32,EDC,credit_card,success,C2M payment - Automotive,REF32442480,C2M,2026-01-07 01:11:18,1,Wednesday,2026-01
T000016,2026-05-27 21:28:33,C01590,M0566,860170.01,transfer,bank_transfer,success,C2M payment - Electronics,REF45768099,C2M,2026-05-27 21:28:33,21,Wednesday,2026-05
T000017,2026-01-01 01:16:42,C00465,M0605,8826466.19,QRIS,QRIS,success,C2M payment - Automotive,REF30299180,C2M,2026-01-01 01:16:42,1,Thursday,2026-01
T000018,2025-12-08 12:01:19,C01581,M0152,931592.47,EDC,debit,success,C2M payment - F&B,REF82388181,C2M,2025-12-08 12:01:19,12,Monday,2025-12
T000019,2026-06-01 03:00:33,C00655,M0311,13915653.98,QRIS,QRIS,success,C2M payment - Fashion,REF03738758,C2M,2026-06-01 03:00:33,3,Monday,2026-06
T000020,2026-06-08 07:26:44,C01992,M0652,146983.49,QRIS,QRIS,success,C2M payment - Automotive,REF09137633,C2M,2026-06-08 07:26:44,7,Monday,2026-06
T000022,2025-09-20 21:35:09,M0296,M0406,75000000.0,transfer,bank_transfer,success,M2M settlement - Grocery,REF91102286,M2M,2025-09-20 21:35:09,21,Saturday,2025-09
T000023,2025-11-14 02:54:42,M0361,M0379,2356142.6,transfer,bank_transfer,success,M2M settlement - Grocery,REF12471324,M2M,2025-11-14 02:54:42,2,Friday,2025-11
T000024,2026-04-27 07:29:19,C00220,M0359,4774171.42,QRIS,QRIS,success,C2M payment - Grocery,REF20707990,C2M,2026-04-27 07:29:19,7,Monday,2026-04
T000025,2025-09-27 23:34:43,C00278,M0703,18938939.84,QRIS,QRIS,success,C2M payment - Automotive,REF47455983,C2M,2025-09-27 23:34:43,23,Saturday,2025-09
T000026,2025-12-24 02:09:43,M0507,M0160,2479891.04,transfer,bank_transfer,success,M2M settlement - F&B,REF41718308,M2M,2025-12-24 02:09:43,2,Wednesday,2025-12
T000027,2025-10-10 02:12:53,C01504,M0706,11558975.29,EDC,debit,success,C2M payment - Automotive,REF60342707,C2M,2025-10-10 02:12:53,2,Friday,2025-10
T000028,2026-02-23 19:01:51,C00514,M0702,7312497.96,QRIS,QRIS,success,C2M payment - Fashion,REF28331043,C2M,2026-02-23 19:01:51,19,Monday,2026-02
T000029,2026-06-27 01:46:49,M0599,M0657,7576151.24,transfer,bank_transfer,success,M2M settlement - Automotive,REF41408658,M2M,2026-06-27 01:46:49,1,Saturday,2026-06
T000030,2026-03-09 04:15:35,M0510,M0662,20027204.94,transfer,bank_transfer,success,M2M settlement - Automotive,REF11012180,M2M,2026-03-09 04:15:35,4,Monday,2026-03
T000031,2025-10-25 03:06:36,C01569,M0264,9661241.06,EDC,credit_card,success,C2M payment - Fashion,REF27989561,C2M,2025-10-25 03:06:36,3,Saturday,2025-10
T000032,2026-02-11 05:14:00,C01333,M0142,24515078.81,QRIS,QRIS,success,C2M payment - F&B,REF79036005,C2M,2026-02-11 05:14:00,5,Wednesday,2026-02
T000033,2025-10-17 04:51:31,M0348,M0636,4881956.1,transfer,bank_transfer,success,M2M settlement - Automotive,REF92046706,M2M,2025-10-17 04:51:31,4,Friday,2025-10
T000034,2026-02-12 10:44:49,C01103,M0503,8727555.11,QRIS,QRIS,success,C2M payment - Electronics,REF19983929,C2M,2026-02-12 10:44:49,10,Thursday,2026-02
T000035,2025-08-02 11:51:20,C00304,M0662,10153428.82,EDC,debit,success,C2M payment - Automotive,REF71055485,C2M,2025-08-02 11:51:20,11,Saturday,2025-08
T000037,2026-04-07 04:38:48,M0104,M0418,40083438.92,transfer,bank_transfer,success,M2M settlement - Grocery,REF56251857,M2M,2026-04-07 04:38:48,4,Tuesday,2026-04
T000038,2026-02-18 19:59:19,M0592,M0313,2964954.8,transfer,bank_transfer,success,M2M settlement - Fashion,REF99483300,M2M,2026-02-18 19:59:19,19,Wednesday,2026-02
T000039,2025-08-09 19:13:15,M0547,M0128,26109382.49,transfer,bank_transfer,success,M2M settlement - F&B,REF11203431,M2M,2025-08-09 19:13:15,19,Saturday,2025-08
T000040,2025-12-16 18:12:06,M0635,M0687,75000000.0,transfer,bank_transfer,success,M2M settlement - Automotive,REF98165308,M2M,2025-12-16 18:12:06,18,Tuesday,2025-12
T000041,2025-11-08 05:18:06,C00736,M0519,12521705.71,QRIS,QRIS,success,C2M payment - Electronics,REF33583899,C2M,2025-11-08 05:18:06,5,Saturday,2025-11
T000042,2026-04-11 01:51:59,C00143,M0296,22097443.76,transfer,bank_transfer,success,C2M payment - Fashion,REF94374049,C2M,2026-04-11 01:51:59,1,Saturday,2026-04
T000043,2025-10-23 16:13:59,C00788,M0449,19079353.62,EDC,debit,success,C2M payment - Grocery,REF91684169,C2M,2025-10-23 16:13:59,16,Thursday,2025-10
T000044,2026-06-08 01:21:24,C01509,M0576,19339953.43,EDC,debit,success,C2M payment - Electronics,REF24224815,C2M,2026-06-08 01:21:24,1,Monday,2026-06
T000045,2025-12-16 19:59:33,C00410,M0680,69776203.69,EDC,debit,success,C2M payment - Automotive,REF01693113,C2M,2025-12-16 19:59:33,19,Tuesday,2025-12
T000046,2025-10-25 23:08:56,C01818,M0092,8847150.13,EDC,debit,success,C2M payment - F&B,REF46364609,C2M,2025-10-25 23:08:56,23,Saturday,2025-10
T000047,2025-08-02 18:32:46,C01501,M0676,11440925.0,transfer,bank_transfer,success,C2M payment - Automotive,REF10932994,C2M,2025-08-02 18:32:46,18,Saturday,2025-08
T000048,2025-09-03 20:48:02,C00584,M0405,152088.12,QRIS,QRIS,success,C2M payment - Grocery,REF25973952,C2M,2025-09-03 20:48:02,20,Wednesday,2025-09
T000049,2026-05-11 20:39:19,M0157,M0151,6143892.72,transfer,bank_transfer,success,M2M settlement - F&B,REF19856986,M2M,2026-05-11 20:39:19,20,Monday,2026-05
T000051,2025-07-06 18:46:59,C01057,M0563,30000000.0,EDC,credit_card,success,C2M payment - Electronics,REF45197310,C2M,2025-07-06 18:46:59,18,Sunday,2025-07
T000052,2026-01-07 12:29:00,M0619,M0581,46655243.02,transfer,bank_transfer,success,M2M settlement - Electronics,REF46170481,M2M,2026-01-07 12:29:00,12,Wednesday,2026-01
T000053,2025-07-26 07:51:11,C01382,M0088,257065.01,QRIS,QRIS,success,C2M payment - F&B,REF59385321,C2M,2025-07-26 07:51:11,7,Saturday,2025-07
T000054,2025-12-22 03:30:32,C00045,M0180,4473246.13,QRIS,QRIS,success,C2M payment - F&B,REF26835945,C2M,2025-12-22 03:30:32,3,Monday,2025-12
T000055,2025-11-01 07:10:48,C00334,M0334,150871.53,QRIS,QRIS,success,C2M payment - Fashion,REF79816406,C2M,2025-11-01 07:10:48,7,Saturday,2025-11
T000056,2026-03-09 13:39:31,C01077,M0278,651585.84,EDC,debit,success,C2M payment - Fashion,REF61288283,C2M,2026-03-09 13:39:31,13,Monday,2026-03
T000057,2026-04-17 21:21:00,M0033,M0006,6916023.4,QRIS,QRIS,success,M2M settlement - F&B,REF36565213,M2M,2026-04-17 21:21:00,21,Friday,2026-04
T000058,2026-06-02 09:27:09,M0366,M0019,49901581.55,transfer,bank_transfer,success,M2M settlement - F&B,REF70654749,M2M,2026-06-02 09:27:09,9,Tuesday,2026-06
T000059,2025-11-30 14:55:43,C00649,M0253,17112736.56,QRIS,QRIS,success,C2M payment - Fashion,REF87789051,C2M,2025-11-30 14:55:43,14,Sunday,2025-11
T000060,2025-10-20 10:33:52,C00477,M0318,420799.01,QRIS,QRIS,success,C2M payment - Fashion,REF68261057,C2M,2025-10-20 10:33:52,10,Monday,2025-10
