trx_id,timestamp,source_id,target_id,amount,channel,status,description,ref_number,trx_type,timestamp_dt,hour,day_of_week,month
T006809,2026-04-18 03:53:24,M0235,M0274,1116616.0,transfer,success,,REF51035284,M2M,2026-04-18 03:53:24,3,Saturday,2026-04
T010039,2026-04-29 06:12:47,M0387,M0425,9931653.0,QRIS,success,Bayar supplier,REF62826714,M2M,2026-04-29 06:12:47,6,Wednesday,2026-04
T031833,2026-06-22 07:53:34,M0258,M0242,2501939.0,EDC,success,,REF49167892,M2M,2026-06-22 07:53:34,7,Monday,2026-06
T015442,2025-12-22 02:28:05,M0066,M0167,1157158.0,QRIS,success,,REF86924284,M2M,2025-12-22 02:28:05,2,Monday,2025-12
T025564,2026-03-28 08:09:27,M0652,M0700,8644725.0,transfer,success,Payment invoice,REF35148338,M2M,2026-03-28 08:09:27,8,Saturday,2026-03
T018937,2026-05-08 03:55:26,M0104,M0053,7581536.0,transfer,success,Pembayaran bahan,REF93741185,M2M,2026-05-08 03:55:26,3,Friday,2026-05
T033709,2026-03-05 12:38:30,M0184,M0159,1046206.0,transfer,success,,REF63178634,M2M,2026-03-05 12:38:30,12,Thursday,2026-03
T001020,2025-11-17 12:15:23,M0567,M0570,1040896.0,transfer,success,Bayar tagihan,REF32030273,M2M,2025-11-17 12:15:23,12,Monday,2025-11
T036425,2026-02-10 01:21:23,M0636,M0644,683062.0,QRIS,success,Bayar supplier,REF63832762,M2M,2026-02-10 01:21:23,1,Tuesday,2026-02
T023257,2026-05-20 13:55:25,M0641,M0654,4929237.0,EDC,success,Bayar tagihan,REF33113959,M2M,2026-05-20 13:55:25,13,Wednesday,2026-05
T018722,2026-01-22 00:02:24,M0387,M0437,4067307.0,QRIS,success,Pembelian stok,REF20166825,M2M,2026-01-22 00:02:24,0,Thursday,2026-01
T017660,2025-07-18 06:35:28,M0667,M0632,8081036.0,transfer,success,Bayar tagihan,REF03483215,M2M,2025-07-18 06:35:28,6,Friday,2025-07
T000176,2025-08-24 08:26:06,M0510,M0590,2386853.0,transfer,success,,REF51508514,M2M,2025-08-24 08:26:06,8,Sunday,2025-08
T008932,2025-09-18 00:14:15,M0664,M0646,3722554.0,QRIS,success,Pembayaran bahan,REF52531090,M2M,2025-09-18 00:14:15,0,Thursday,2025-09
T006333,2025-10-07 05:32:08,M0565,M0511,11306610.0,QRIS,success,Payment invoice,REF39623653,M2M,2025-10-07 05:32:08,5,Tuesday,2025-10
T024313,2025-07-03 12:45:24,M0296,M0346,11184578.0,transfer,success,,REF18317109,M2M,2025-07-03 12:45:24,12,Thursday,2025-07
T023202,2025-08-05 15:44:16,M0258,M0222,493025.0,transfer,success,,REF46965401,M2M,2025-08-05 15:44:16,15,Tuesday,2025-08
T039963,2026-05-27 15:18:23,M0347,M0227,12041669.0,transfer,success,Payment invoice,REF69312939,M2M,2026-05-27 15:18:23,15,Wednesday,2026-05
T038969,2026-05-22 11:58:10,M0488,M0376,4105899.0,EDC,success,Bayar tagihan,REF13682781,M2M,2026-05-22 11:58:10,11,Friday,2026-05
T029858,2026-06-03 14:23:25,M0264,M0227,412433.0,QRIS,success,Bayar supplier,REF56489414,M2M,2026-06-03 14:23:25,14,Wednesday,2026-06
T034752,2025-12-09 14:31:02,M0060,M0002,1425454.0,transfer,success,Transfer pembayaran,REF39422769,M2M,2025-12-09 14:31:02,14,Tuesday,2025-12
T041911,2025-10-07 12:37:24,M0297,M0238,1353883.0,transfer,success,,REF89873843,M2M,2025-10-07 12:37:24,12,Tuesday,2025-10
T029145,2025-10-01 16:35:24,M0054,M0147,11192735.0,transfer,success,Pembelian stok,REF87616688,M2M,2025-10-01 16:35:24,16,Wednesday,2025-10
T041801,2026-01-03 05:07:32,M0636,M0618,794929.0,transfer,success,DP pembelian,REF77839658,M2M,2026-01-03 05:07:32,5,Saturday,2026-01
T027609,2026-05-30 23:06:05,M0319,M0300,879913.0,transfer,success,,REF43540337,M2M,2026-05-30 23:06:05,23,Saturday,2026-05
T041584,2025-08-27 17:56:34,M0416,M0477,1182292.0,transfer,success,Payment invoice,REF34610377,M2M,2025-08-27 17:56:34,17,Wednesday,2025-08
T010313,2025-12-01 21:20:45,M0392,M0441,2513884.0,transfer,success,Pembayaran bahan,REF91490759,M2M,2025-12-01 21:20:45,21,Monday,2025-12
T040057,2026-05-03 00:09:02,M0245,M0236,2187555.0,QRIS,success,,REF08446974,M2M,2026-05-03 00:09:02,0,Sunday,2026-05
T020831,2025-11-12 19:20:22,M0628,M0623,623865.0,transfer,success,,REF34459762,M2M,2025-11-12 19:20:22,19,Wednesday,2025-11
T006313,2025-09-15 09:03:40,M0328,M0323,18464453.0,QRIS,success,Bayar supplier,REF47279855,M2M,2025-09-15 09:03:40,9,Monday,2025-09
T028882,2026-06-20 13:05:52,M0182,M0053,9256120.0,transfer,success,,REF84477660,M2M,2026-06-20 13:05:52,13,Saturday,2026-06
T017073,2025-11-04 16:57:35,M0574,M0553,1279382.0,transfer,success,Pelunasan,REF35334714,M2M,2025-11-04 16:57:35,16,Tuesday,2025-11
T002784,2025-10-28 19:42:55,M0594,M0522,2986598.0,transfer,success,DP pembelian,REF13334502,M2M,2025-10-28 19:42:55,19,Tuesday,2025-10
T005800,2026-06-21 10:13:43,M0023,M0049,820125.0,QRIS,success,Bayar tagihan,REF55772135,M2M,2026-06-21 10:13:43,10,Sunday,2026-06
T011427,2025-08-12 16:13:41,M0143,M0199,4054819.0,EDC,success,,REF49299072,M2M,2025-08-12 16:13:41,16,Tuesday,2025-08
T024712,2025-10-09 22:37:18,M0677,M0698,20409803.0,transfer,success,DP pembelian,REF81870678,M2M,2025-10-09 22:37:18,22,Thursday,2025-10
T031454,2026-01-18 19:07:12,M0538,M0591,1036358.0,transfer,success,DP pembelian,REF63979565,M2M,2026-01-18 19:07:12,19,Sunday,2026-01
T028680,2025-10-23 12:02:17,M0288,M0242,12939855.0,transfer,success,Pembayaran bahan,REF57967777,M2M,2025-10-23 12:02:17,12,Thursday,2025-10
T006368,2026-04-17 21:40:35,M0619,M0662,8664196.0,QRIS,success,,REF83131748,M2M,2026-04-17 21:40:35,21,Friday,2026-04
T010096,2026-04-05 12:44:36,M0636,M0620,8770528.0,transfer,success,,REF10817944,M2M,2026-04-05 12:44:36,12,Sunday,2026-04
T040066,2025-08-10 11:45:48,M0267,M0269,639104.0,EDC,success,Bayar supplier,REF92917740,M2M,2025-08-10 11:45:48,11,Sunday,2025-08
T008445,2025-08-07 23:35:33,M0611,M0648,10287400.0,transfer,success,Pelunasan,REF32601898,M2M,2025-08-07 23:35:33,23,Thursday,2025-08
T036592,2026-01-28 21:30:51,M0656,M0662,9106718.0,EDC,success,,REF96139758,M2M,2026-01-28 21:30:51,21,Wednesday,2026-01
T008426,2025-10-02 15:31:27,M0574,M0583,8138612.0,transfer,success,,REF68454404,M2M,2025-10-02 15:31:27,15,Thursday,2025-10
T034426,2025-12-21 17:28:16,M0451,M0376,1750542.0,transfer,success,Pelunasan,REF67787590,M2M,2025-12-21 17:28:16,17,Sunday,2025-12
T014950,2025-10-28 21:37:26,M0585,M0503,8027624.0,transfer,success,Payment invoice,REF51185881,M2M,2025-10-28 21:37:26,21,Tuesday,2025-10
T003936,2026-02-16 05:21:37,M0250,M0227,2833977.0,transfer,success,DP pembelian,REF71935928,M2M,2026-02-16 05:21:37,5,Monday,2026-02
T037687,2025-10-15 07:16:42,M0087,M0188,1204841.0,transfer,success,,REF69985908,M2M,2025-10-15 07:16:42,7,Wednesday,2025-10
T014160,2025-12-31 12:31:16,M0452,M0430,690381.0,QRIS,success,,REF77782697,M2M,2025-12-31 12:31:16,12,Wednesday,2025-12
T012817,2025-08-07 10:41:53,M0389,M0394,2150187.0,transfer,success,,REF84570068,M2M,2025-08-07 10:41:53,10,Thursday,2025-08
T020830,2026-03-02 23:58:54,M0621,M0668,16898652.0,QRIS,success,Pembayaran bulanan,REF51575775,M2M,2026-03-02 23:58:54,23,Monday,2026-03
T013863,2026-02-14 21:02:07,M0692,M0655,863206.0,transfer,success,Payment invoice,REF87271262,M2M,2026-02-14 21:02:07,21,Saturday,2026-02
T012805,2026-03-25 16:35:04,M0307,M0236,404491.0,EDC,success,Bayar supplier,REF06544452,M2M,2026-03-25 16:35:04,16,Wednesday,2026-03
T020649,2026-03-27 11:01:38,M0495,M0513,636882.0,transfer,success,,REF31140048,M2M,2026-03-27 11:01:38,11,Friday,2026-03
T012114,2025-10-30 23:12:50,M0578,M0591,5418031.0,transfer,success,Payment invoice,REF19119714,M2M,2025-10-30 23:12:50,23,Thursday,2025-10
T010918,2026-02-03 04:05:06,M0499,M0532,976777.0,transfer,success,Payment invoice,REF41947223,M2M,2026-02-03 04:05:06,4,Tuesday,2026-02
T030483,2025-08-27 22:35:55,M0409,M0476,7893132.0,EDC,success,Pembayaran bahan,REF03156800,M2M,2025-08-27 22:35:55,22,Wednesday,2025-08
T009328,2025-12-10 22:51:56,M0107,M0199,2801869.0,transfer,success,Pembayaran bulanan,REF43677660,M2M,2025-12-10 22:51:56,22,Wednesday,2025-12
T028322,2026-05-30 03:08:32,M0621,M0629,1304833.0,transfer,success,Pembayaran bulanan,REF79739216,M2M,2026-05-30 03:08:32,3,Saturday,2026-05
T021190,2026-06-23 02:37:08,M0380,M0445,2354672.0,QRIS,success,Transfer pembayaran,REF17740666,M2M,2026-06-23 02:37:08,2,Tuesday,2026-06
T018594,2026-01-15 12:53:30,M0273,M0274,4529861.0,EDC,success,DP pembelian,REF93092575,M2M,2026-01-15 12:53:30,12,Thursday,2026-01
T028767,2026-06-22 11:02:09,M0202,M0120,781997.0,EDC,success,Pembayaran bulanan,REF36415494,M2M,2026-06-22 11:02:09,11,Monday,2026-06
T004963,2025-11-03 13:48:46,M0546,M0579,6320704.0,transfer,success,,REF83839635,M2M,2025-11-03 13:48:46,13,Monday,2025-11
T020921,2025-07-21 19:00:26,M0293,M0248,3583093.0,transfer,success,,REF66828056,M2M,2025-07-21 19:00:26,19,Monday,2025-07
T018541,2025-12-11 03:51:32,M0176,M0135,4750650.0,transfer,success,Pembayaran bahan,REF60337952,M2M,2025-12-11 03:51:32,3,Thursday,2025-12
T015898,2025-12-03 12:01:16,M0463,M0477,22213142.0,transfer,success,Bayar supplier,REF44620400,M2M,2025-12-03 12:01:16,12,Wednesday,2025-12
T018537,2026-04-09 19:21:43,M0679,M0676,909394.0,transfer,success,Pelunasan,REF47126591,M2M,2026-04-09 19:21:43,19,Thursday,2026-04
T039516,2026-03-23 08:00:06,M0677,M0629,1839882.0,transfer,success,Transfer pembayaran,REF76467924,M2M,2026-03-23 08:00:06,8,Monday,2026-03
T015102,2026-04-01 11:15:34,M0262,M0309,706810.0,transfer,success,Payment invoice,REF48094356,M2M,2026-04-01 11:15:34,11,Wednesday,2026-04
T024727,2026-04-01 18:53:02,M0131,M0069,632466.0,transfer,success,Pembelian stok,REF97145554,M2M,2026-04-01 18:53:02,18,Wednesday,2026-04
T038843,2026-05-28 21:24:47,M0288,M0248,5388930.0,QRIS,success,,REF30451296,M2M,2026-05-28 21:24:47,21,Thursday,2026-05
T023028,2025-10-23 02:17:00,M0134,M0157,6721077.0,transfer,success,Pembayaran bulanan,REF22694694,M2M,2025-10-23 02:17:00,2,Thursday,2025-10
T036983,2025-08-23 01:23:50,M0667,M0622,1396126.0,transfer,success,DP pembelian,REF99907470,M2M,2025-08-23 01:23:50,1,Saturday,2025-08
T030988,2025-11-14 13:37:13,M0246,M0279,2795132.0,transfer,success,,REF38218522,M2M,2025-11-14 13:37:13,13,Friday,2025-11
T011920,2025-07-28 08:57:17,M0228,M0334,1454712.0,QRIS,success,Pembayaran bulanan,REF60968184,M2M,2025-07-28 08:57:17,8,Monday,2025-07
T013051,2026-03-21 05:42:34,M0102,M0201,1103592.0,transfer,success,Pembayaran bulanan,REF00620846,M2M,2026-03-21 05:42:34,5,Saturday,2026-03
T010369,2025-09-17 01:27:10,M0575,M0554,7207110.0,transfer,success,Pembelian stok,REF94849839,M2M,2025-09-17 01:27:10,1,Wednesday,2025-09
T035912,2026-01-16 17:18:53,M0078,M0006,841766.0,EDC,success,,REF75094538,M2M,2026-01-16 17:18:53,17,Friday,2026-01
T029071,2026-01-26 09:35:46,M0134,M0205,5158105.0,transfer,success,,REF70044149,M2M,2026-01-26 09:35:46,9,Monday,2026-01
T002906,2025-07-08 13:39:21,M0555,M0590,3162464.0,transfer,success,DP pembelian,REF66585311,M2M,2025-07-08 13:39:21,13,Tuesday,2025-07
T035295,2026-05-02 16:27:41,M0163,M0155,11515712.0,EDC,success,,REF89359674,M2M,2026-05-02 16:27:41,16,Saturday,2026-05
T011212,2025-08-21 12:52:22,M0436,M0466,7243378.0,QRIS,success,,REF89953930,M2M,2025-08-21 12:52:22,12,Thursday,2025-08
T028843,2026-03-24 13:01:05,M0289,M0323,2051771.0,transfer,success,DP pembelian,REF66140008,M2M,2026-03-24 13:01:05,13,Tuesday,2026-03
T017746,2025-11-22 03:59:42,M0250,M0227,1485128.0,QRIS,success,Bayar tagihan,REF07228811,M2M,2025-11-22 03:59:42,3,Saturday,2025-11
T036824,2026-02-18 16:10:28,M0338,M0248,936622.0,transfer,success,,REF00109942,M2M,2026-02-18 16:10:28,16,Wednesday,2026-02
T015284,2026-03-18 14:33:35,M0232,M0310,388763.0,QRIS,success,Pembayaran bahan,REF09830838,M2M,2026-03-18 14:33:35,14,Wednesday,2026-03
