merchant_id,lama_beroperasi_tahun,jumlah_karyawan,rating_google,jumlah_outlet,has_website,has_social_media
M0001,20.0,37.0,4.8,5.0,Ya,Tidak
M0002,2.0,8.0,4.2,1.0,Ya,Ya
M0003,6.0,90.0,3.9,1.0,Ya,Tidak
M0004,17.0,26.0,4.7,1.0,Tidak,Tidak
M0005,15.0,6.0,3.7,1.0,Tidak,
M0006,10.0,,3.3,1.0,Tidak,Ya
M0007,14.0,6.0,,1.0,Tidak,Ya
M0008,3.0,12.0,4.0,2.0,Ya,Tidak
M0009,,28.0,,5.0,Tidak,Ya
M0010,11.0,,3.1,2.0,Tidak,
M0011,5.0,36.0,3.8,1.0,Ya,Tidak
M0012,11.0,23.0,,1.0,Tidak,Ya
M0013,20.0,53.0,4.0,1.0,Ya,
M0014,8.0,51.0,4.3,1.0,Ya,Tidak
M0015,2.0,27.0,4.5,2.0,Tidak,
M0016,8.0,79.0,,1.0,Tidak,Tidak
M0017,12.0,10.0,3.9,1.0,,Ya
M0018,,39.0,,1.0,Tidak,Tidak
M0019,8.0,29.0,,1.0,Tidak,Tidak
M0020,2.0,15.0,3.8,1.0,Tidak,Ya
M0021,,24.0,4.8,1.0,,
M0022,17.0,77.0,4.6,1.0,Tidak,Tidak
M0023,10.0,10.0,3.4,1.0,,Tidak
M0024,10.0,2.0,4.1,1.0,Tidak,Tidak
M0025,20.0,19.0,3.7,5.0,Tidak,Ya
M0026,6.0,7.0,3.4,2.0,Ya,
M0027,20.0,5.0,4.2,1.0,Tidak,
M0028,19.0,40.0,,1.0,Tidak,Ya
M0029,3.0,13.0,3.7,2.0,,Ya
M0030,19.0,,4.3,1.0,Tidak,Tidak
M0031,6.0,60.0,5.0,1.0,Tidak,Ya
M0032,16.0,1.0,,1.0,Tidak,Tidak
M0033,,100.0,3.5,2.0,Tidak,Tidak
M0034,19.0,22.0,,1.0,Ya,Tidak
M0035,15.0,42.0,3.1,1.0,,Ya
M0036,9.0,9.0,3.5,1.0,Tidak,Ya
M0037,16.0,1.0,,1.0,,Ya
M0038,15.0,29.0,4.6,3.0,Tidak,Ya
M0039,15.0,,3.6,1.0,Tidak,Ya
M0040,11.0,32.0,3.8,2.0,Tidak,
M0041,11.0,35.0,,1.0,Tidak,Ya
M0042,12.0,,4.1,5.0,Ya,Tidak
M0043,15.0,34.0,4.7,1.0,Tidak,Ya
M0044,8.0,17.0,3.6,2.0,Tidak,Tidak
M0045,8.0,33.0,4.0,1.0,Ya,Ya
M0046,2.0,41.0,4.7,3.0,Tidak,Ya
M0047,18.0,10.0,3.6,5.0,Ya,Ya
M0048,8.0,,4.2,2.0,,
M0049,19.0,96.0,,2.0,Tidak,Ya
M0050,8.0,,,1.0,Tidak,Ya
M0051,7.0,43.0,3.2,3.0,Ya,Tidak
M0052,,89.0,4.3,,,Ya
M0053,16.0,35.0,,1.0,Tidak,Ya
M0054,6.0,6.0,4.5,2.0,Tidak,Tidak
M0055,5.0,35.0,3.5,1.0,Ya,Tidak
M0056,20.0,18.0,3.4,1.0,Tidak,Ya
M0057,19.0,,,5.0,Tidak,
M0058,15.0,38.0,4.1,2.0,Tidak,Tidak
M0059,,98.0,,1.0,,Ya
M0060,2.0,4.0,3.7,2.0,Tidak,Ya
