trx_id,timestamp,source_id,target_id,amount,channel,payment_type,status,description,ref_number
T000000,2026-03-21 16:37:58,C00675,M0607,887187.92,EDC,debit,success,C2M payment - Automotive,REF76360417
T000001,2026-02-13 23:16:16,C00075,M0411,38758.87,QRIS,QRIS,success,C2M payment - Grocery,REF87061588
T000002,2025-09-05 20:03:14,C01585,M0027,374336.65,transfer,bank_transfer,success,C2M payment - F&B,REF18154156
T000003,2025-12-01 04:29:20,C01081,M0467,314405.41,QRIS,QRIS,success,C2M payment - Grocery,REF42510488
T000004,2025-11-11 23:57:17,C00993,M0381,154112.45,transfer,bank_transfer,success,C2M payment - Grocery,REF63695970
T000005,2026-03-10 19:22:03,C01932,M0162,182150.55,transfer,bank_transfer,success,C2M payment - F&B,REF70901681
T000006,2026-02-25 12:23:21,M0434,M0671,3540890.17,transfer,bank_transfer,failed,M2M settlement - Automotive,REF95927965
T000007,2025-07-14 22:40:11,C00904,M0402,640683.02,EDC,credit_card,success,C2M payment - Grocery,REF23753782
T000008,2026-01-29 07:52:03,M0060,M0603,26829588.77,transfer,bank_transfer,success,M2M settlement - Automotive,REF58040240
T000009,2025-07-12 15:01:47,C01107,M0148,67965.96,EDC,debit,success,C2M payment - F&B,REF43388643
T000010,2025-07-10 20:27:20,M0137,M0453,28131715.21,EDC,debit,success,M2M settlement - Grocery,REF91243444
T000011,2025-08-03 18:27:03,M0639,M0689,30576947.6,transfer,bank_transfer,success,M2M settlement - Automotive,REF09528889
T000012,2026-02-09 23:47:58,C01210,M0156,82543.37,transfer,bank_transfer,success,C2M payment - F&B,REF10003599
T000013,2026-01-13 15:18:47,C01186,M0604,1897953.88,QRIS,QRIS,success,C2M payment - Automotive,REF62653166
T000014,2026-04-08 13:59:36,M0668,M0666,8031368.25,transfer,bank_transfer,success,M2M settlement - Automotive,REF27506502
T000015,2026-01-07 01:11:18,C00198,M0628,575706.05,EDC,credit_card,success,C2M payment - Automotive,REF32442480
T000016,2026-05-27 21:28:33,C01590,M0566,2013843.66,transfer,bank_transfer,success,C2M payment - Electronics,REF45768099
T000017,2026-01-01 01:16:42,C00465,M0605,725215.69,QRIS,QRIS,success,C2M payment - Automotive,REF30299180
T000018,2025-12-08 12:01:19,C01581,M0152,76209.0,EDC,debit,success,C2M payment - F&B,REF82388181
T000019,2026-06-01 03:00:33,C00655,M0311,1787233.66,QRIS,QRIS,success,C2M payment - Fashion,REF03738758
T000020,2026-06-08 07:26:44,C01992,M0652,1718548.83,QRIS,QRIS,success,C2M payment - Automotive,REF09137633
T000021,2026-01-30 21:44:50,C01323,M0318,553200.73,QRIS,QRIS,pending,C2M payment - Fashion,REF46069732
T000022,2025-09-20 21:35:09,M0296,M0406,75000000.0,transfer,bank_transfer,success,M2M settlement - Grocery,REF91102286
T000023,2025-11-14 02:54:42,M0361,M0379,2356142.6,transfer,bank_transfer,success,M2M settlement - Grocery,REF12471324
T000024,2026-04-27 07:29:19,C00220,M0359,628667.53,QRIS,QRIS,success,C2M payment - Grocery,REF20707990
