trx_id,timestamp,source_id,target_id,amount,channel,status,description,ref_number
T024476,2026-04-26 02:34:27,M0361,M0342,1076158.0,QRIS,success,Payment invoice,REF83725999
T006710,2025-10-27 10:58:02,M0174,M0177,3789392.0,transfer,success,,REF63546127
T029055,2025-09-01 20:37:11,C00512,M0217,78057.0,EDC,success,,REF73191524
T001858,2026-04-15 23:06:58,M0320,M0045,1525153.0,transfer,success,Pembayaran bahan,REF06445482
T043949,2025-10-22 10:30:13,C00386,M0386,98291.0,EDC,success,,REF53019811
T021313,2025-11-07 20:19:14,M0073,M0069,677303.0,transfer,success,Bayar tagihan,REF41508563
T021789,2025-09-26 13:41:39,M0075,M0072,503604.0,transfer,success,Bayar supplier,REF93444022
T031817,2025-11-22 08:37:38,C01291,M0359,16744.0,EDC,success,,REF97468691
T042739,2025-07-01 03:36:02,C01135,M0041,60940.0,EDC,success,,REF81634502
T033916,2025-10-25 19:43:50,C00463,M0217,45244.0,QRIS,success,,REF15765422
T013099,2026-03-03 03:35:49,M0124,M0144,4705593.0,QRIS,success,Pembayaran bahan,REF33686171
T038855,2025-07-07 08:03:52,C01752,M0338,592458.0,EDC,success,,REF13742655
T014536,2025-07-30 21:02:48,M0314,M0287,3637018.0,EDC,success,,REF33651133
T032733,2025-12-01 02:20:56,C00229,M0303,168025.0,QRIS,success,,REF32820337
T010116,2026-03-22 06:46:33,M0051,M0034,1004096.0,transfer,success,Pembayaran bulanan,REF97188762
T016459,2026-02-02 21:05:33,M0216,M0231,10731648.0,transfer,success,DP pembelian,REF67530664
T033449,2025-09-29 11:50:26,C01613,M0178,80734.0,QRIS,success,,REF78437515
T004559,2025-10-11 07:58:52,M0370,M0364,7226636.0,QRIS,success,Transfer pembayaran,REF90814095
T000183,2026-01-10 20:46:02,M0080,M0114,1182969.0,transfer,success,Pembayaran bulanan,REF66991714
T036114,2025-10-12 23:16:07,C01918,M0290,95817.0,EDC,success,,REF95521670
T012823,2026-06-02 15:57:22,M0323,M0339,12172841.0,transfer,success,,REF31189703
T006470,2026-04-30 12:34:50,M0239,M0227,4852559.0,QRIS,success,Bayar tagihan,REF93209092
T025717,2025-07-31 18:42:54,M0393,M0383,7019172.0,transfer,success,Pelunasan,REF20080520
T039354,2025-11-25 09:43:41,C01789,M0289,317538.0,transfer,success,,REF71396888
T036093,2025-12-06 19:17:41,C00321,M0310,178543.0,QRIS,success,,REF18928215
T017274,2026-04-03 03:57:47,M0120,M0076,4060576.0,EDC,success,Pelunasan,REF05590244
T011540,2026-02-25 10:25:55,M0210,M0242,7648119.0,transfer,success,Pembayaran bulanan,REF38494471
T009568,2026-04-06 19:48:01,M0180,M0141,2189716.0,transfer,success,,REF81699719
T025987,2026-05-25 11:16:33,M0402,M0131,4378823.0,QRIS,success,,REF39849281
T038048,2026-02-03 13:25:46,C00962,M0143,28907.0,transfer,success,,REF84986469
T011156,2026-03-23 20:45:29,M0016,M0096,594596.0,transfer,success,Pelunasan,REF15302124
T006935,2025-10-18 03:23:09,M0269,M0401,4738727.0,QRIS,success,Bayar supplier,REF15940250
T042818,2026-02-01 14:42:09,C01548,M0125,104037.0,QRIS,success,,REF81571065
T002602,2026-03-31 08:05:04,M0194,M0151,1177604.0,transfer,success,Transfer pembayaran,REF70551735
T038653,2026-05-26 00:21:09,C01087,M0028,194191.0,QRIS,success,,REF78342963
T000488,2026-03-05 10:21:19,M0070,M0015,13076659.0,transfer,success,DP pembelian,REF79774507
T002798,2026-05-31 16:55:58,M0001,M0101,5587537.0,transfer,success,,REF00152255
T030297,2026-01-29 15:29:48,C01935,M0330,515233.0,EDC,success,,REF77349040
T008564,2025-10-07 19:27:46,M0280,M0278,6321522.0,transfer,success,Payment invoice,REF63265355
T030343,2025-12-19 23:49:32,C01763,M0063,82990.0,QRIS,success,,REF92435046
T004707,2026-04-17 14:45:23,M0090,M0072,2849630.0,transfer,success,Pembayaran bahan,REF18950677
T014865,2026-06-13 19:48:44,M0250,M0231,399082.0,EDC,success,,REF42944510
T012925,2026-02-07 10:09:44,M0145,M0182,632748.0,transfer,success,,REF58885751
T028410,2025-12-21 18:22:05,C01736,M0094,59994.0,transfer,success,,REF30562403
T019240,2026-06-23 11:02:19,M0334,M0292,14530198.0,,success,,REF82911831
T018582,2026-05-21 09:21:51,M0211,M0231,2805619.0,QRIS,success,Bayar tagihan,REF12168824
T000605,2025-10-19 16:27:39,M0117,M0114,2143093.0,transfer,success,Bayar tagihan,REF27547958
T023514,2025-07-21 05:43:28,M0193,M0129,727371.0,transfer,success,Bayar tagihan,REF50204186
T017446,2026-06-04 17:33:31,M0288,M0128,987688.0,EDC,failed,,REF04770826
T033010,2026-01-17 04:35:08,C01184,M0003,148355.0,QRIS,success,,REF05953931
T013208,2026-01-13 09:41:04,M0353,M0383,2462664.0,EDC,success,,REF47829219
T029746,2025-10-12 15:31:03,C00367,M0203,36963.0,QRIS,success,,REF21330647
T039663,2026-04-22 07:13:50,C00882,M0266,84747.0,EDC,success,,REF82377869
T033045,2026-03-20 00:13:16,C01685,M0297,79895.0,EDC,success,,REF38051580
T001606,2025-09-26 03:06:45,M0378,M0342,3955168.0,EDC,success,,REF78220433
T027155,2025-09-13 21:44:17,C00927,M0350,62995.0,QRIS,success,,REF51127786
T008077,2026-04-07 00:04:11,M0329,M0339,6868096.0,transfer,success,,REF24604981
T007630,2026-06-26 10:58:36,M0134,M0176,13727390.0,transfer,success,Bayar supplier,REF49450991
T004971,2026-01-22 13:38:37,M0005,M0002,4643365.0,transfer,success,Payment invoice,REF35156064
T000819,2025-10-07 09:43:22,M0397,M0381,4913842.0,transfer,success,,REF78288817
T019987,2025-08-25 21:25:09,M0348,M0387,14327632.0,EDC,success,Pembelian stok,REF04950666
T042464,2026-04-27 11:54:52,C01495,M0307,394510.0,QRIS,success,,REF15076839
T040475,2025-08-14 07:38:51,C00684,M0399,568709.0,EDC,success,,REF03886238
T030451,2026-05-30 19:27:07,C00192,M0294,189677.0,EDC,success,,REF51277606
T031670,2025-12-01 09:16:28,C00231,M0007,21319.0,transfer,success,,REF11839272
T041579,2025-11-01 00:40:10,C00168,M0373,175693.0,QRIS,success,,REF13419427
T014684,2026-04-17 09:49:06,M0026,M0101,7468216.0,transfer,success,,REF97422812
T044863,2026-03-08 09:08:58,C00640,M0326,186384.0,QRIS,success,,REF36290293
T045295,2026-01-05 21:31:43,C01416,M0408,34426.0,EDC,success,,REF20817872
T034143,2025-12-12 23:43:54,C00758,M0133,425841.0,QRIS,success,,REF77786378
T010619,2025-12-01 19:06:00,M0170,M0166,-1465419.0,transfer,success,Pengembalian,REF96474092
T027552,2025-12-07 03:09:12,C01867,M0172,13576.0,QRIS,success,,REF38922790
T021937,2026-04-05 02:52:06,M0234,M0258,12272126.0,transfer,success,,REF17680576
T032645,2025-10-15 17:05:44,C00299,M0170,211732.0,QRIS,success,,REF79970880
T018392,2026-04-02 02:56:23,M0221,M0264,908566.0,EDC,success,Pembelian stok,REF29962907
T016381,2025-11-22 08:02:41,M0282,M0286,,transfer,failed,Transfer pembayaran,REF13999917
T009271,2026-05-18 16:52:34,M0174,M0160,3926855.0,transfer,success,DP pembelian,REF65757310
T024711,2026-04-22 11:42:30,M0130,M0191,1753881.0,QRIS,success,Pembayaran bulanan,REF59308807
T008098,2026-04-22 07:03:07,M0042,M0035,13236611.0,transfer,success,Pembayaran bahan,REF11477991
T044230,2026-01-18 13:57:35,C00334,M0226,532366.0,QRIS,failed,,REF35177589
T008289,2026-01-17 09:44:01,M0361,M0360,11446821.0,transfer,success,,REF73280486
T033248,2025-08-13 15:48:51,C01271,M0031,339490.0,EDC,success,,REF45465509
T021474,2026-06-03 10:19:59,M0113,M0076,683375.0,EDC,success,Transfer pembayaran,REF35404892
T024992,2025-08-09 08:29:03,M0392,M0390,12677606.0,transfer,success,,REF10503499
T008104,2025-09-09 15:59:58,M0280,M0262,909018.0,QRIS,success,,REF91854807
T018858,2025-12-07 06:41:31,M0181,M0140,1891029.0,transfer,success,,REF04920510
T042294,2025-07-26 15:07:13,C00756,M0373,-406772.0,QRIS,success,Refund,REF04066687
T014012,2025-07-08 02:55:46,M0007,M0101,815402.0,transfer,success,Bayar tagihan,REF60325860
T034324,2026-01-24 17:01:36,C01068,M0361,301349.0,QRIS,success,,REF77966019
T012045,2026-02-23 02:41:29,M0336,M0287,2609397.0,transfer,success,Pembayaran bahan,REF37241655
T005445,2025-09-17 14:02:22,M0125,M0199,14741919.0,transfer,success,,REF92270078
T032059,2025-10-18 12:14:17,C00743,M0222,17918.0,QRIS,failed,,REF28798620
T032106,2026-01-13 08:13:28,C00092,M0291,48815.0,QRIS,success,,REF39304462
T007323,2026-02-23 14:47:12,M0095,M0072,2499795.0,QRIS,success,,REF61183672
T000631,2026-06-03 22:31:57,M0277,M0264,3227140.0,EDC,success,,REF73334549
T001981,2025-12-24 23:21:00,M0302,M0395,889667.0,transfer,success,DP pembelian,REF04537008
T032728,2025-10-18 01:35:17,C00584,M0277,114862.0,QRIS,success,,REF55270990
T029465,2025-12-11 02:35:12,C01856,M0338,21189.0,QRIS,success,,REF62809049
T044994,2026-06-01 05:43:38,C01737,M0033,174482.0,EDC,success,,REF10014915
T000718,2025-11-20 16:50:08,M0373,M0341,2072209.0,transfer,success,,REF26703047
T002281,2026-06-15 23:43:24,M0196,M0146,716776.0,QRIS,success,Bayar tagihan,REF23411434
T002152,2025-12-18 17:52:50,M0340,M0287,8920565.0,,success,Pembayaran bahan,REF62290926
T020781,2025-09-29 05:46:53,M0163,M0149,17552508.0,transfer,success,Pembayaran bulanan,REF23123856
T030661,2026-01-28 06:15:29,C01406,M0070,185641.0,EDC,success,,REF35232202
T004272,2026-03-24 21:44:19,M0142,M0165,11087064.0,transfer,success,Transfer pembayaran,REF06210984
T013681,2026-02-01 23:38:42,M0361,M0387,984318.0,transfer,success,Bayar tagihan,REF17151330
T034899,2026-03-25 02:15:20,C01708,M0345,44928.0,QRIS,success,,REF99795859
T038326,2025-11-05 10:52:16,C00641,M0189,109507.0,QRIS,success,,REF67929089
T022221,2026-05-21 22:16:27,M0388,M0400,428389000.0,transfer,success,Bayar supplier,REF60686170
T006061,2025-10-21 14:21:12,M0175,M0165,8156637.0,transfer,success,Pembayaran bulanan,REF25408385
T013040,2026-01-28 16:56:19,M0366,M0364,2399673.0,transfer,success,DP pembelian,REF25946399
T006415,2025-09-05 09:23:07,M0174,M0160,1339053.0,transfer,success,Bayar supplier,REF46104278
T014969,2026-04-10 03:59:29,M0161,M0162,1959693.0,QRIS,success,Payment invoice,REF24086494
T013687,2026-01-16 23:57:39,M0275,M0401,725017.0,transfer,success,Pelunasan,REF87668461
T004845,2026-05-12 07:51:00,M0042,M0035,7351831.0,transfer,success,,REF75681123
T003535,2025-10-06 03:07:20,M0277,M0253,6014008.0,transfer,failed,Payment invoice,REF33096740
T023176,2025-09-07 00:03:04,M0333,M0287,1017540.0,transfer,success,Transfer pembayaran,REF81291945
T041227,2026-02-09 03:32:56,C00364,M0031,29364.0,QRIS,success,,REF29645184
T007029,2026-03-20 02:10:41,M0267,M0231,5078640.0,QRIS,success,,REF73419133
T006566,2026-06-16 02:35:19,M0106,M0035,1343443.0,EDC,success,Pelunasan,REF85149957
T045846,2025-07-25 04:56:21,M0388,M0360,1509536.0,EDC,success,Bayar tagihan,REF72313648
T023237,2026-05-10 22:32:16,M0354,M0369,698997.0,transfer,success,Transfer pembayaran,REF87731896
T009912,2026-05-06 16:04:20,M0394,M0363,587548.0,transfer,success,,REF93834761
T015164,2026-03-15 08:09:35,M0136,M0140,1267288.0,transfer,success,Transfer pembayaran,REF67417286
T005094,2026-06-16 19:44:27,M0178,M0140,14998012.0,transfer,success,Transfer pembayaran,REF48580256
T010003,2025-12-04 05:22:22,M0379,M0387,532369.0,EDC,success,DP pembelian,REF99416714
T008059,2025-10-07 05:24:15,M0026,M0406,8174413.0,,success,,REF49616678
T010649,2025-10-02 00:11:28,M0214,M0401,1612245.0,transfer,success,,REF21633967
T031892,2026-01-26 22:58:11,C00589,M0367,13024.0,QRIS,success,,REF06205274
T039705,2025-08-24 15:23:44,C00080,M0090,35944.0,transfer,success,,REF13037118
T042855,2025-10-16 10:05:27,C00069,M0317,176693.0,EDC,success,,REF33959022
T023645,2026-05-12 14:44:30,M0247,M0263,12551267.0,,success,Pembelian stok,REF32206524
T018266,2025-11-20 15:59:11,M0238,M0231,2401774.0,QRIS,success,,REF24668474
T025236,2026-04-07 03:06:03,M0119,M0101,7487498.0,transfer,success,Bayar supplier,REF34971836
T023345,2025-08-24 22:13:49,M0392,M0383,12860236.0,transfer,success,Bayar supplier,REF84876990
T017382,2026-02-06 03:11:40,M0222,M0258,6466999.0,EDC,success,Pelunasan,REF16670116
T033312,2026-04-11 15:13:16,C00863,M0126,116666.0,QRIS,success,,REF98011468
T017231,2025-07-16 21:32:44,M0142,M0165,2524519.0,transfer,success,,REF51663220
T039630,2026-03-04 13:44:32,C01618,M0359,40737.0,EDC,success,,REF98672279
T002785,2025-10-16 15:15:31,M0254,M0223,3749509.0,transfer,success,Pembelian stok,REF40617224
T003350,2025-08-23 10:37:28,M0023,M0030,690562.0,transfer,success,Bayar tagihan,REF00226796
T005013,2025-11-17 09:08:48,M0288,M0313,10156409.0,transfer,success,Pembelian stok,REF01914195
T040128,2025-10-03 16:21:10,C00095,M0017,161039.0,EDC,success,,REF52100768
T041476,2025-10-07 05:35:14,C00761,M0402,101882.0,EDC,success,,REF87219292
T019015,2025-09-04 17:12:11,M0016,M0088,1518288.0,transfer,pending,DP pembelian,REF94908974
T008153,2025-08-11 19:19:42,M0271,M0231,8812504.0,transfer,success,Bayar supplier,REF18412336
T032354,2026-05-06 01:08:22,C00918,M0226,30175.0,transfer,success,,REF16871735
T020418,2025-10-27 12:07:22,M0247,M0206,4356525.0,QRIS,success,,REF84459667
T018395,2026-06-05 01:44:41,M0163,M0149,6105973.0,transfer,success,,REF89831431
T042800,2026-04-06 18:35:38,C01611,M0093,420606.0,transfer,success,,REF20820829
